element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
376, 8, 11, 0, True, 2019-08-10T11:30:00Z, 0, 5, 1, 90, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 7, 9.0, 1.5, 0.0, 1.1, 50, 0, 23399, 0, 0, 
376, 13, 4, 0, False, 2019-08-17T14:00:00Z, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -1099, 27019, 2048, 3147, 
376, 29, 18, 0, False, 2019-08-24T14:00:00Z, 1, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -3205, 24435, 707, 3912, 
376, 40, 14, 0, True, 2019-08-31T14:00:00Z, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 49, -2026, 23220, 1064, 3090, 
376, 41, 2, 0, False, 2019-09-16T19:00:00Z, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 49, -1555, 22270, 1033, 2588, 
376, 60, 12, 14, True, 2019-09-22T13:00:00Z, 2, 0, 6, 90, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 27, 43.8, 2.2, 10.0, 5.6, 49, -1053, 21523, 451, 1504, 
376, 62, 3, 7, False, 2019-09-28T14:00:00Z, 2, 2, 7, 90, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 20, 40.8, 3.9, 43.0, 8.8, 49, 22176, 46782, 24766, 2590, 
376, 80, 7, 2, True, 2019-10-05T16:30:00Z, 1, 2, 8, 83, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 16, 13.0, 1.3, 4.0, 1.8, 49, 106465, 167821, 111664, 5199, 
376, 85, 8, 0, False, 2019-10-19T11:30:00Z, 2, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -6395, 152619, 16078, 22473, 
376, 100, 15, 2, True, 2019-10-26T14:00:00Z, 1, 1, 10, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 10, 17.4, 3.8, 21.0, 4.2, 50, -17348, 135473, 3608, 20956, 
376, 110, 13, 0, True, 2019-11-02T15:00:00Z, 2, 3, 11, 90, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 11, 7.4, 7.8, 4.0, 1.9, 49, 2389, 140056, 11799, 9410, 
