element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
430, 3, 16, 1, True, 2019-08-10T14:00:00Z, 3, 0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2.0, 0.0, 0.0, 0.2, 50, 0, 8105, 0, 0, 
430, 11, 1, 1, False, 2019-08-17T11:30:00Z, 2, 1, 2, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1.4, 0.3, 2.0, 0.4, 50, -847, 8742, 501, 1348, 
430, 30, 20, 0, False, 2019-08-25T15:30:00Z, 1, 1, 3, 24, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 2.2, 0.3, 0.0, 0.3, 49, -1107, 7997, 306, 1413, 
430, 32, 10, 2, True, 2019-08-31T16:30:00Z, 0, 3, 4, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 7, 2.8, 2.4, 0.0, 0.5, 49, -852, 7475, 343, 1195, 
430, 43, 4, 0, False, 2019-09-14T14:00:00Z, 1, 1, 5, 58, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, -3, 2.4, 1.6, 4.0, 0.8, 49, 118, 8030, 957, 839, 
430, 52, 14, 1, True, 2019-09-21T14:00:00Z, 2, 0, 6, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4.4, 1.4, 0.0, 0.6, 49, -429, 7722, 309, 738, 
430, 61, 2, 0, False, 2019-09-28T14:00:00Z, 2, 2, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 48, -471, 7381, 223, 694, 
430, 73, 8, 1, True, 2019-10-05T14:00:00Z, 1, 0, 8, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0.0, 0.8, 0.0, 0.1, 48, -379, 7140, 155, 534, 
430, 86, 9, 1, False, 2019-10-19T14:00:00Z, 2, 1, 9, 25, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0.4, 2.4, 2.0, 0.5, 48, -291, 6939, 118, 409, 
430, 93, 6, 0, True, 2019-10-26T16:30:00Z, 2, 4, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 48, -105, 6888, 124, 229, 
430, 108, 15, 0, False, 2019-11-02T15:00:00Z, 3, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 48, -206, 6786, 131, 337, 
