element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
516, 7, 18, 0, False, 2019-08-10T14:00:00Z, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, 0, 16261, 0, 0, 
516, 13, 19, 1, True, 2019-08-17T14:00:00Z, 1, 1, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0.2, 0.5, 0.0, 0.1, 50, -314, 18906, 2128, 2442, 
516, 23, 16, 0, True, 2019-08-24T14:00:00Z, 0, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -2756, 16510, 701, 3457, 
516, 37, 11, 0, False, 2019-08-31T14:00:00Z, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -2921, 13914, 388, 3309, 
516, 43, 5, 1, True, 2019-09-14T14:00:00Z, 1, 1, 5, 10, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 1.4, 0.9, 0.0, 0.2, 49, -1573, 12636, 418, 1991, 
516, 58, 13, 3, False, 2019-09-21T16:30:00Z, 0, 0, 6, 69, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 13, 4.2, 15.0, 9.0, 2.8, 49, -952, 11851, 220, 1172, 
516, 63, 6, 2, False, 2019-09-28T14:00:00Z, 2, 0, 7, 64, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 26.2, 0.8, 0.0, 2.7, 49, -538, 11427, 357, 895, 
516, 72, 17, 3, True, 2019-10-05T11:30:00Z, 3, 0, 8, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 15, 19.0, 14.9, 1.0, 3.5, 48, -370, 11138, 324, 694, 
516, 81, 2, -2, False, 2019-10-19T14:00:00Z, 2, 1, 9, 34, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, -7, 0.0, 1.5, 0.0, 0.0, 48, 1264, 12741, 2039, 775, 
516, 92, 8, 0, True, 2019-10-26T14:00:00Z, 3, 2, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 48, -1445, 11160, 64, 1509, 
516, 104, 14, 0, True, 2019-11-02T15:00:00Z, 2, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 48, -214, 11065, 519, 733, 
516, 115, 12, 0, False, 2019-11-10T14:00:00Z, 3, 1, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 48, -284, 10811, 276, 560, 
516, 124, 9, 2, True, 2019-11-23T15:00:00Z, 0, 2, 13, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 17, 17.0, 42.3, 2.0, 6.1, 48, -377, 10519, 214, 591, 
516, 134, 10, 2, False, 2019-11-30T15:00:00Z, 2, 1, 14, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 16, 14.4, 15.9, 9.0, 3.9, 48, -205, 10356, 186, 391, 
516, 141, 1, 0, False, 2019-12-05T20:15:00Z, None, None, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 48, -54, 10357, 203, 257, 
