element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
494, 2, 15, 2, True, 2019-08-10T14:00:00Z, 1, 1, 1, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 11, 9.8, 0.0, 0.0, 1.0, 45, 0, 3091, 0, 0, 
494, 12, 2, 4, False, 2019-08-17T14:00:00Z, 1, 2, 2, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 6, 0, 24, 39.8, 0.0, 0.0, 4.0, 45, 2802, 8566, 3794, 992, 
494, 22, 11, 1, True, 2019-08-25T13:00:00Z, 1, 3, 3, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 0, 12, 19.0, 0.0, 0.0, 1.9, 45, 3236, 13643, 5460, 2224, 
494, 36, 9, 1, False, 2019-08-31T14:00:00Z, 3, 1, 4, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 0, 13, 13.0, 0.0, 0.0, 1.3, 45, 4356, 19406, 7190, 2834, 
494, 42, 8, 3, True, 2019-09-15T13:00:00Z, 3, 1, 5, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 0, 19, 33.6, 0.0, 0.0, 3.4, 45, 1724, 22068, 3887, 2163, 
494, 59, 16, 10, False, 2019-09-20T19:00:00Z, 1, 3, 6, 90, 0, 1, 0, 1, 0, 0, 0, 0, 0, 6, 3, 34, 56.0, 10.0, 0.0, 6.6, 45, 3334, 26492, 5022, 1688, 
494, 62, 19, 2, True, 2019-09-28T14:00:00Z, 2, 2, 7, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 4, 0, 17, 30.2, 0.0, 0.0, 3.0, 45, 21429, 51706, 25623, 4194, 
494, 71, 1, 2, False, 2019-10-06T13:00:00Z, 1, 0, 8, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 10, 10.6, 0.0, 0.0, 1.1, 45, 6643, 58222, 12532, 5889, 
494, 82, 14, 6, True, 2019-10-19T14:00:00Z, 0, 0, 9, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 21, 7.8, 0.0, 0.0, 0.8, 45, 10689, 70443, 14721, 4032, 
494, 99, 18, 8, False, 2019-10-26T14:00:00Z, 0, 0, 10, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 1, 29, 22.0, 0.0, 0.0, 2.2, 45, 18734, 90239, 21641, 2907, 
494, 103, 12, 9, True, 2019-11-02T12:30:00Z, 1, 0, 11, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 2, 29, 19.6, 0.0, 0.0, 2.0, 45, 16805, 108434, 22278, 5473, 
494, 116, 13, 4, False, 2019-11-09T15:00:00Z, 2, 1, 12, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 7, 1, 23, 44.2, 0.0, 0.0, 4.4, 46, 124055, 249480, 128192, 4137, 
494, 123, 20, 2, True, 2019-11-23T15:00:00Z, 1, 2, 13, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 19, 36.4, 0.0, 0.0, 3.6, 47, 87756, 337020, 101701, 13945, 
494, 139, 17, 1, False, 2019-11-30T15:00:00Z, 3, 2, 14, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 0, 11, 19.2, 0.0, 0.0, 1.9, 47, -24900, 304711, 5515, 30415, 
494, 148, 7, 2, False, 2019-12-03T19:30:00Z, 1, 0, 15, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 11, 6.4, 0.0, 0.0, 0.6, 47, -5904, 301059, 6854, 12758, 
494, 152, 10, 3, True, 2019-12-07T15:00:00Z, 0, 3, 16, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 6, 0, 22, 42.8, 0.0, 0.0, 4.3, 46, -19647, 281640, 4975, 24622, 
