element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
63, 2, 15, 1, True, 2019-08-10T14:00:00Z, 1, 1, 1, 90, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 10, 3.4, 7.0, 4.0, 1.4, 45, 0, 90570, 0, 0, 
63, 12, 2, 2, False, 2019-08-17T14:00:00Z, 1, 2, 2, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 14, 12.2, 1.2, 4.0, 1.7, 45, -6200, 88424, 2040, 8240, 
63, 22, 11, 1, True, 2019-08-25T13:00:00Z, 1, 3, 3, 67, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 3.8, 0.5, 33.0, 3.7, 45, -10345, 79479, 2953, 13298, 
63, 36, 9, 1, False, 2019-08-31T14:00:00Z, 3, 1, 4, 63, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 12, 7.2, 1.3, 22.0, 3.1, 45, -5546, 75064, 3428, 8974, 
63, 42, 8, 0, True, 2019-09-15T13:00:00Z, 3, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -14701, 60263, 542, 15243, 
63, 59, 16, 0, False, 2019-09-20T19:00:00Z, 1, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, -10388, 50159, 129, 10517, 
63, 62, 19, 0, True, 2019-09-28T14:00:00Z, 2, 2, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, -10966, 39300, 30, 10996, 
63, 71, 1, 0, False, 2019-10-06T13:00:00Z, 1, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 43, -5160, 34248, 18, 5178, 
63, 82, 14, 5, True, 2019-10-19T14:00:00Z, 0, 0, 9, 90, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 21, 12.0, 13.2, 2.0, 2.7, 43, -3306, 31047, 59, 3365, 
63, 99, 18, 6, False, 2019-10-26T14:00:00Z, 0, 0, 10, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 25, 20.4, 3.3, 0.0, 2.4, 43, 692, 32122, 1231, 539, 
63, 103, 12, 12, True, 2019-11-02T12:30:00Z, 1, 0, 11, 90, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 3, 38, 32.2, 30.3, 4.0, 6.7, 43, 1555, 34048, 2453, 898, 
