element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
417, 5, 9, 0, False, 2019-08-11T13:00:00Z, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, 0, 17995, 0, 0, 
417, 20, 12, 1, True, 2019-08-19T19:00:00Z, 1, 1, 2, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5.8, 15.9, 6.0, 2.8, 50, -2103, 18781, 1140, 3243, 
417, 30, 5, 1, True, 2019-08-25T15:30:00Z, 1, 1, 3, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.6, 0.8, 8.0, 0.9, 50, 474, 20573, 3360, 2886, 
417, 35, 8, 2, False, 2019-09-01T13:00:00Z, 3, 2, 4, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 6, 13.4, 1.3, 2.0, 1.7, 50, -457, 20863, 2396, 2853, 
417, 50, 6, 1, True, 2019-09-14T14:00:00Z, 2, 5, 5, 55, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 7, 12.6, 15.8, 0.0, 2.8, 50, 1265, 23192, 3918, 2653, 
417, 54, 7, 8, False, 2019-09-22T13:00:00Z, 1, 1, 6, 90, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 3, 25, 35.6, 49.8, 29.0, 11.4, 50, -801, 22650, 1385, 2186, 
417, 70, 18, 3, True, 2019-09-28T14:00:00Z, 2, 0, 7, 86, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 9, 14.8, 20.5, 8.0, 4.3, 50, 3405, 27065, 5359, 1954, 
417, 75, 11, 16, False, 2019-10-06T13:00:00Z, 0, 2, 8, 90, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 59, 84.4, 14.3, 26.0, 12.5, 50, -461, 26625, 2170, 2631, 
417, 90, 16, 2, True, 2019-10-19T14:00:00Z, 1, 1, 9, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 15, 14.4, 3.7, 1.0, 1.9, 51, 169903, 214506, 181393, 11490, 
417, 96, 13, 2, False, 2019-10-27T14:00:00Z, 1, 1, 10, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 15, 16.6, 33.6, 30.0, 8.0, 51, 49246, 259814, 65330, 16084, 
417, 101, 1, 2, False, 2019-11-02T15:00:00Z, 1, 1, 11, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 9.8, 27.3, 6.0, 4.3, 51, 144, 260912, 38894, 38750, 
