element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
17, 4, 7, 0, False, 2019-08-10T14:00:00Z, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 60, 0, 128875, 0, 0, 
17, 15, 18, 0, True, 2019-08-17T14:00:00Z, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 60, -12523, 136614, 13315, 25838, 
17, 21, 2, 1, False, 2019-08-23T19:00:00Z, 2, 0, 3, 29, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6, 7.4, 6.8, 21.0, 3.5, 59, -34267, 104397, 3798, 38065, 
17, 35, 20, 9, True, 2019-09-01T13:00:00Z, 3, 2, 4, 75, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 30, 46.6, 15.7, 21.0, 8.3, 59, -10675, 97303, 8669, 19344, 
17, 42, 3, 2, False, 2019-09-15T13:00:00Z, 3, 1, 5, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 8, 11.2, 14.3, 58.0, 8.4, 59, 34254, 139348, 48941, 14687, 
17, 55, 15, 1, True, 2019-09-21T14:00:00Z, 0, 2, 6, 35, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 4.4, 13.3, 2.0, 2.0, 59, 16117, 157185, 28698, 12581, 
17, 65, 11, 2, True, 2019-09-28T16:30:00Z, 1, 3, 7, 66, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 9, 6.4, 31.8, 6.0, 4.4, 59, -32766, 123952, 4244, 37010, 
17, 73, 5, 2, False, 2019-10-05T14:00:00Z, 1, 0, 8, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 15, 13.6, 18.9, 58.0, 9.1, 59, -12702, 113141, 3598, 16300, 
17, 85, 19, 3, True, 2019-10-19T11:30:00Z, 2, 0, 9, 86, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 10, 15.6, 27.3, 28.0, 7.1, 58, -9445, 104844, 2206, 11651, 
17, 92, 4, 2, False, 2019-10-26T14:00:00Z, 3, 2, 10, 71, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 8, 12.8, 4.5, 27.0, 4.4, 58, -1995, 103669, 3064, 5059, 
17, 106, 17, 2, True, 2019-11-03T16:30:00Z, 1, 1, 11, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 8, 13.6, 13.8, 2.0, 2.9, 58, -6625, 97548, 2638, 9263, 
