element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
500, 10, 1, 1, True, 2019-08-11T13:00:00Z, 0, 1, 1, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4.2, 1.2, 13.0, 1.8, 55, 0, 34113, 0, 0, 
500, 17, 14, 0, False, 2019-08-17T14:00:00Z, 3, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 55, 1284, 41233, 8222, 6938, 
500, 28, 17, 1, False, 2019-08-25T15:30:00Z, 0, 1, 3, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0.0, 1.0, 2.0, 0.2, 55, -13193, 27513, 455, 13648, 
500, 38, 18, 0, True, 2019-08-31T14:00:00Z, 1, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 54, -8807, 19260, 304, 9111, 
500, 44, 10, 0, False, 2019-09-14T11:30:00Z, 3, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 54, -4559, 14955, 73, 4632, 
500, 58, 4, 1, True, 2019-09-21T16:30:00Z, 0, 0, 6, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8.4, 10.2, 11.0, 3.0, 54, -1315, 13869, 254, 1569, 
500, 66, 9, 0, False, 2019-09-29T15:30:00Z, 5, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 54, 114, 14173, 964, 850, 
500, 76, 12, 3, True, 2019-10-06T15:30:00Z, 1, 0, 8, 82, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6.2, 22.0, 15.0, 4.3, 54, -96, 14236, 693, 789, 
500, 83, 6, 2, False, 2019-10-19T14:00:00Z, 1, 0, 9, 84, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 11.0, 39.4, 3.0, 5.3, 54, 2424, 17156, 3123, 699, 
500, 96, 20, 2, True, 2019-10-27T14:00:00Z, 1, 1, 10, 89, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 8, 10.2, 15.7, 46.0, 7.2, 54, 2658, 20015, 3327, 669, 
500, 110, 19, 2, False, 2019-11-02T15:00:00Z, 2, 3, 11, 76, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 7, 17.4, 15.2, 49.0, 8.2, 54, 1331, 21636, 2876, 1545, 
