code, team_home, team_home_score, team_away, team_away_score, event, finished, minutes, event_name, is_home
1059777, 13, None, 12, None, 8, False, 0, Gameweek 8, False, 
1059788, 12, None, 10, None, 9, False, 0, Gameweek 9, True, 
1059798, 14, None, 12, None, 10, False, 0, Gameweek 10, False, 
1059802, 3, None, 12, None, 11, False, 0, Gameweek 11, False, 
1059816, 12, None, 4, None, 12, False, 0, Gameweek 12, True, 
1059829, 15, None, 12, None, 13, False, 0, Gameweek 13, False, 
1059836, 12, None, 2, None, 14, False, 0, Gameweek 14, True, 
1059845, 12, None, 17, None, 15, False, 0, Gameweek 15, True, 
1059856, 11, None, 12, None, 16, False, 0, Gameweek 16, False, 
1059868, 12, None, 8, None, 17, False, 0, Gameweek 17, True, 
1059880, 18, None, 12, None, 18, False, 0, Gameweek 18, False, 
1059888, 12, None, 13, None, 19, False, 0, Gameweek 19, True, 
1059894, 5, None, 12, None, 20, False, 0, Gameweek 20, False, 
1059902, 1, None, 12, None, 21, False, 0, Gameweek 21, False, 
1059918, 12, None, 14, None, 22, False, 0, Gameweek 22, True, 
1059925, 10, None, 12, None, 23, False, 0, Gameweek 23, False, 
1059936, 12, None, 5, None, 24, False, 0, Gameweek 24, True, 
1059947, 12, None, 20, None, 25, False, 0, Gameweek 25, True, 
1059955, 6, None, 12, None, 26, False, 0, Gameweek 26, False, 
1059968, 12, None, 18, None, 27, False, 0, Gameweek 27, True, 
1059975, 8, None, 12, None, 28, False, 0, Gameweek 28, False, 
1059988, 12, None, 11, None, 29, False, 0, Gameweek 29, True, 
1059999, 17, None, 12, None, 30, False, 0, Gameweek 30, False, 
1060006, 12, None, 15, None, 31, False, 0, Gameweek 31, True, 
1060015, 4, None, 12, None, 32, False, 0, Gameweek 32, False, 
1060026, 12, None, 3, None, 33, False, 0, Gameweek 33, True, 
1060034, 2, None, 12, None, 34, False, 0, Gameweek 34, False, 
1060046, 12, None, 16, None, 35, False, 0, Gameweek 35, True, 
1060055, 7, None, 12, None, 36, False, 0, Gameweek 36, False, 
1060066, 12, None, 19, None, 37, False, 0, Gameweek 37, True, 
1060077, 9, None, 12, None, 38, False, 0, Gameweek 38, False, 
