code, team_home, team_home_score, team_away, team_away_score, event, finished, minutes, event_name, is_home
1059781, 19, None, 7, None, 8, False, 0, Gameweek 8, True, 
1059786, 8, None, 19, None, 9, False, 0, Gameweek 9, False, 
1059801, 19, None, 15, None, 10, False, 0, Gameweek 10, True, 
1059811, 19, None, 13, None, 11, False, 0, Gameweek 11, True, 
1059812, 5, None, 19, None, 12, False, 0, Gameweek 12, False, 
1059831, 19, None, 17, None, 13, False, 0, Gameweek 13, True, 
1059833, 6, None, 19, None, 14, False, 0, Gameweek 14, False, 
1059847, 20, None, 19, None, 15, False, 0, Gameweek 15, False, 
1059861, 19, None, 1, None, 16, False, 0, Gameweek 16, True, 
1059870, 16, None, 19, None, 17, False, 0, Gameweek 17, False, 
1059881, 19, None, 10, None, 18, False, 0, Gameweek 18, True, 
1059885, 7, None, 19, None, 19, False, 0, Gameweek 19, False, 
1059901, 19, None, 9, None, 20, False, 0, Gameweek 20, True, 
1059911, 19, None, 3, None, 21, False, 0, Gameweek 21, True, 
1059919, 15, None, 19, None, 22, False, 0, Gameweek 22, False, 
1059931, 19, None, 8, None, 23, False, 0, Gameweek 23, True, 
1059935, 9, None, 19, None, 24, False, 0, Gameweek 24, False, 
1059951, 19, None, 4, None, 25, False, 0, Gameweek 25, True, 
1059957, 11, None, 19, None, 26, False, 0, Gameweek 26, False, 
1059967, 10, None, 19, None, 27, False, 0, Gameweek 27, False, 
1059981, 19, None, 16, None, 28, False, 0, Gameweek 28, True, 
1059982, 1, None, 19, None, 29, False, 0, Gameweek 29, False, 
1060001, 19, None, 20, None, 30, False, 0, Gameweek 30, True, 
1060010, 17, None, 19, None, 31, False, 0, Gameweek 31, False, 
1060021, 19, None, 6, None, 32, False, 0, Gameweek 32, True, 
1060027, 13, None, 19, None, 33, False, 0, Gameweek 33, False, 
1060041, 19, None, 5, None, 34, False, 0, Gameweek 34, True, 
1060047, 14, None, 19, None, 35, False, 0, Gameweek 35, False, 
1060061, 19, None, 18, None, 36, False, 0, Gameweek 36, True, 
1060066, 12, None, 19, None, 37, False, 0, Gameweek 37, False, 
1060081, 19, None, 2, None, 38, False, 0, Gameweek 38, True, 
