code, team_home, team_home_score, team_away, team_away_score, event, finished, minutes, event_name, is_home
1059779, 16, None, 6, None, 8, False, 0, Gameweek 8, True, 
1059791, 20, None, 16, None, 9, False, 0, Gameweek 9, False, 
1059799, 16, None, 9, None, 10, False, 0, Gameweek 10, True, 
1059808, 11, None, 16, None, 11, False, 0, Gameweek 11, False, 
1059819, 16, None, 8, None, 12, False, 0, Gameweek 12, True, 
1059823, 1, None, 16, None, 13, False, 0, Gameweek 13, False, 
1059839, 16, None, 18, None, 14, False, 0, Gameweek 14, True, 
1059851, 16, None, 14, None, 15, False, 0, Gameweek 15, True, 
1059857, 13, None, 16, None, 16, False, 0, Gameweek 16, False, 
1059870, 16, None, 19, None, 17, False, 0, Gameweek 17, True, 
1059873, 2, None, 16, None, 18, False, 0, Gameweek 18, False, 
1059884, 6, None, 16, None, 19, False, 0, Gameweek 19, False, 
1059899, 16, None, 7, None, 20, False, 0, Gameweek 20, True, 
1059909, 16, None, 17, None, 21, False, 0, Gameweek 21, True, 
1059917, 9, None, 16, None, 22, False, 0, Gameweek 22, False, 
1059929, 16, None, 20, None, 23, False, 0, Gameweek 23, True, 
1059940, 7, None, 16, None, 24, False, 0, Gameweek 24, False, 
1059946, 10, None, 16, None, 25, False, 0, Gameweek 25, False, 
1059960, 16, None, 5, None, 26, False, 0, Gameweek 26, True, 
1059970, 16, None, 2, None, 27, False, 0, Gameweek 27, True, 
1059981, 19, None, 16, None, 28, False, 0, Gameweek 28, False, 
1059990, 16, None, 13, None, 29, False, 0, Gameweek 29, True, 
1059998, 14, None, 16, None, 30, False, 0, Gameweek 30, False, 
1060009, 16, None, 1, None, 31, False, 0, Gameweek 31, True, 
1060020, 18, None, 16, None, 32, False, 0, Gameweek 32, False, 
1060029, 16, None, 11, None, 33, False, 0, Gameweek 33, True, 
1060037, 8, None, 16, None, 34, False, 0, Gameweek 34, False, 
1060046, 12, None, 16, None, 35, False, 0, Gameweek 35, False, 
1060060, 16, None, 4, None, 36, False, 0, Gameweek 36, True, 
1060062, 3, None, 16, None, 37, False, 0, Gameweek 37, False, 
1060080, 16, None, 15, None, 38, False, 0, Gameweek 38, True, 
