element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
319, 3, 5, 1, False, 2019-08-10T14:00:00Z, 3, 0, 1, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 10, 9.8, 0.0, 0.0, 1.0, 45, 0, 49447, 0, 0, 
319, 19, 10, 2, True, 2019-08-17T14:00:00Z, 1, 2, 2, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 4, 0, 16, 30.2, 0.0, 0.0, 3.0, 45, -3047, 49588, 1311, 4358, 
319, 23, 4, 7, False, 2019-08-24T14:00:00Z, 0, 2, 3, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 26, 21.6, 0.0, 0.0, 2.2, 45, -356, 51272, 3113, 3469, 
319, 39, 12, 5, True, 2019-08-31T11:30:00Z, 1, 1, 4, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 23, 45.8, 0.0, 0.0, 4.6, 45, 8635, 64626, 14328, 5693, 
319, 47, 15, 9, False, 2019-09-14T14:00:00Z, 0, 1, 5, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 2, 28, 27.0, 0.0, 0.0, 2.7, 45, 34082, 107820, 44290, 10208, 
319, 59, 3, 1, True, 2019-09-20T19:00:00Z, 1, 3, 6, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 7, 1.6, 0.0, 0.0, 0.2, 45, 105938, 234026, 115066, 9128, 
319, 69, 17, 1, False, 2019-09-28T14:00:00Z, 2, 1, 7, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 11, 17.8, 0.0, 0.0, 1.8, 45, 16366, 250035, 41114, 24748, 
319, 78, 6, 1, True, 2019-10-06T13:00:00Z, 1, 4, 8, 90, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 0, 14, 17.8, 0.0, 0.0, 1.8, 45, -6814, 242592, 8043, 14857, 
319, 90, 20, 2, False, 2019-10-19T14:00:00Z, 1, 1, 9, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 1.0, 0.0, 0.0, 0.1, 45, -10184, 233529, 4181, 14365, 
319, 98, 9, 0, True, 2019-10-25T19:00:00Z, 0, 9, 10, 90, 0, 0, 0, 9, 0, 0, 0, 0, 0, 6, 0, 22, 46.8, 0.0, 0.0, 4.7, 45, -6103, 228331, 2545, 8648, 
319, 107, 11, 0, False, 2019-11-02T15:00:00Z, 2, 1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -21793, 206201, 580, 22373, 
