element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
101, 3, 16, 3, True, 2019-08-10T14:00:00Z, 3, 0, 1, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6.4, 11.5, 0.0, 1.8, 55, 0, 51159, 0, 0, 
101, 11, 1, 2, False, 2019-08-17T11:30:00Z, 2, 1, 2, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 9, 12.8, 22.6, 4.0, 3.9, 55, -4427, 48808, 1859, 6286, 
101, 30, 20, 2, False, 2019-08-25T15:30:00Z, 1, 1, 3, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 18, 17.4, 30.3, 1.0, 4.9, 55, -6723, 42752, 1068, 7791, 
101, 32, 10, 2, True, 2019-08-31T16:30:00Z, 0, 3, 4, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 13, 12.0, 15.3, 0.0, 2.7, 54, -5633, 37558, 897, 6530, 
101, 43, 4, 1, False, 2019-09-14T14:00:00Z, 1, 1, 5, 90, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 9, 11.0, 32.4, 4.0, 4.7, 54, -2280, 35843, 2312, 4592, 
101, 52, 14, 8, True, 2019-09-21T14:00:00Z, 2, 0, 6, 90, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 2, 28, 33.8, 50.3, 10.0, 9.4, 54, -2693, 33328, 766, 3459, 
101, 61, 2, 1, False, 2019-09-28T14:00:00Z, 2, 2, 7, 90, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 4, 3.6, 19.6, 0.0, 2.3, 54, 3024, 37218, 5533, 2509, 
101, 73, 8, 5, True, 2019-10-05T14:00:00Z, 1, 0, 8, 90, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 20, 30.2, 39.4, 0.0, 7.0, 54, -1937, 35192, 1333, 3270, 
101, 86, 9, 2, False, 2019-10-19T14:00:00Z, 2, 1, 9, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 20, 31.4, 31.9, 8.0, 7.1, 54, -472, 35023, 1829, 2301, 
101, 93, 6, 2, True, 2019-10-26T16:30:00Z, 2, 4, 10, 90, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 12, 9.6, 3.2, 20.0, 3.3, 54, -819, 34285, 1115, 1934, 
101, 108, 15, 2, False, 2019-11-02T15:00:00Z, 3, 0, 11, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 15, 9.8, 18.8, 0.0, 2.9, 54, -1288, 33172, 1428, 2716, 
101, 111, 19, 5, True, 2019-11-09T15:00:00Z, 3, 0, 12, 90, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 18, 6.0, 16.8, 0.0, 2.3, 54, -305, 33001, 1579, 1884, 
101, 129, 18, 2, False, 2019-11-23T15:00:00Z, 0, 3, 13, 90, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 12, 14.6, 9.6, 0.0, 2.4, 54, 1256, 34639, 3232, 1976, 
101, 131, 7, 0, True, 2019-11-30T15:00:00Z, 0, 2, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 54, -6098, 28197, 186, 6284, 
101, 142, 11, 0, True, 2019-12-03T20:15:00Z, 1, 4, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 54, -1668, 26777, 104, 1772, 
101, 158, 17, 0, False, 2019-12-07T15:00:00Z, 5, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 54, -2372, 24398, 19, 2391, 
