element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
329, 6, 2, 0, True, 2019-08-10T16:30:00Z, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 55, 0, 9750, 0, 0, 
329, 16, 11, 0, False, 2019-08-17T16:30:00Z, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 55, -2174, 8293, 135, 2309, 
329, 28, 13, 1, True, 2019-08-25T15:30:00Z, 0, 1, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0.0, 1.2, 4.0, 0.3, 55, -384, 9198, 847, 1231, 
329, 31, 1, 0, False, 2019-09-01T15:30:00Z, 2, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 55, -433, 9789, 658, 1091, 
329, 48, 7, 1, True, 2019-09-14T14:00:00Z, 4, 0, 5, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5.8, 0.4, 2.0, 0.8, 55, -61, 10709, 1120, 1181, 
329, 56, 9, 0, False, 2019-09-21T11:30:00Z, 2, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 55, -121, 11061, 660, 781, 
329, 69, 16, 0, True, 2019-09-28T14:00:00Z, 2, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 55, -488, 11026, 690, 1178, 
329, 72, 4, 1, False, 2019-10-05T11:30:00Z, 3, 0, 8, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 12, 11.8, 3.7, 2.0, 1.8, 54, -508, 10793, 418, 926, 
329, 89, 18, 0, True, 2019-10-19T14:00:00Z, 1, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 54, -236, 10794, 316, 552, 
329, 94, 10, 0, False, 2019-10-27T16:30:00Z, 2, 1, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 54, -271, 10642, 121, 392, 
329, 106, 8, 2, False, 2019-11-03T16:30:00Z, 1, 1, 11, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 5, 14.2, 15.6, 2.0, 3.2, 54, 43, 10927, 536, 493, 
