element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
204, 8, 19, 0, False, 2019-08-10T11:30:00Z, 0, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 60, 0, 22287, 0, 0, 
204, 16, 17, 0, True, 2019-08-17T16:30:00Z, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 60, -5081, 18410, 182, 5263, 
204, 22, 3, 0, False, 2019-08-25T13:00:00Z, 1, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 60, -3205, 15601, 293, 3498, 
204, 37, 4, 0, True, 2019-08-31T14:00:00Z, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 59, -1788, 14110, 230, 2018, 
204, 46, 14, 0, False, 2019-09-14T16:30:00Z, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 59, -1018, 13316, 529, 1547, 
204, 57, 18, 1, True, 2019-09-21T14:00:00Z, 8, 0, 6, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1.2, 4.3, 0.0, 0.6, 59, 2895, 16819, 3966, 1071, 
204, 65, 8, 0, False, 2019-09-28T16:30:00Z, 1, 3, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 59, 17461, 36117, 20253, 2792, 
204, 75, 20, 0, True, 2019-10-06T13:00:00Z, 0, 2, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 59, -1254, 35252, 3613, 4867, 
204, 84, 7, 6, False, 2019-10-19T16:30:00Z, 0, 2, 9, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 24, 9.8, 12.8, 0.0, 2.3, 59, -9050, 26375, 679, 9729, 
204, 95, 2, 6, True, 2019-10-26T11:30:00Z, 3, 0, 10, 72, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 27, 11.6, 7.8, 40.0, 5.9, 59, 35918, 64908, 37565, 1647, 
204, 107, 16, 0, True, 2019-11-02T15:00:00Z, 2, 1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 60, 78974, 148108, 82833, 3859, 
