element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
152, 4, 7, 2, False, 2019-08-10T14:00:00Z, 0, 0, 1, 90, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 4, 6.8, 18.5, 10.0, 3.5, 65, 0, 29043, 0, 0, 
152, 15, 18, 11, True, 2019-08-17T14:00:00Z, 1, 0, 2, 90, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 38, 53.2, 34.9, 41.0, 12.9, 65, 1576, 37116, 6759, 5183, 
152, 21, 2, 2, False, 2019-08-23T19:00:00Z, 2, 0, 3, 61, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 5, 2.8, 1.7, 4.0, 0.9, 65, 90298, 147543, 108386, 18088, 
152, 35, 20, 1, True, 2019-09-01T13:00:00Z, 3, 2, 4, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2.8, 1.5, 12.0, 1.6, 65, 7654, 157751, 42116, 34462, 
152, 42, 3, 1, False, 2019-09-15T13:00:00Z, 3, 1, 5, 19, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0.8, 4.6, 18.0, 2.3, 65, -27978, 130770, 9191, 37169, 
152, 55, 15, 0, True, 2019-09-21T14:00:00Z, 0, 2, 6, 54, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 5.8, 12.6, 6.0, 2.4, 65, -18406, 114519, 5559, 23965, 
152, 65, 11, 0, True, 2019-09-28T16:30:00Z, 1, 3, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 65, -27480, 87302, 1404, 28884, 
152, 73, 5, 0, False, 2019-10-05T14:00:00Z, 1, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 65, -20536, 67388, 158, 20694, 
152, 85, 19, 10, True, 2019-10-19T11:30:00Z, 2, 0, 9, 90, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 30, 47.2, 12.8, 41.0, 10.1, 65, -5241, 63074, 747, 5988, 
152, 92, 4, 1, False, 2019-10-26T14:00:00Z, 3, 2, 10, 29, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0.0, 0.7, 2.0, 0.2, 65, 5132, 69391, 6596, 1464, 
152, 106, 17, 0, True, 2019-11-03T16:30:00Z, 1, 1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 65, -11613, 57271, 488, 12101, 
152, 118, 16, 0, False, 2019-11-09T15:00:00Z, 1, 2, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 65, -6111, 51397, 62, 6173, 
152, 126, 14, 0, True, 2019-11-23T15:00:00Z, 0, 2, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 64, -4050, 47449, 91, 4141, 
152, 133, 9, 0, False, 2019-12-01T16:30:00Z, 2, 1, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 64, -1374, 46216, 40, 1414, 
152, 149, 10, 4, False, 2019-12-04T20:15:00Z, 5, 2, 15, 55, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 15, 20.6, 16.8, 0.0, 3.7, 64, -459, 45834, 133, 592, 
