element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
14, 10, 13, 7, False, 2019-08-11T13:00:00Z, 0, 1, 1, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 1, 27, 18.0, 0.0, 0.0, 1.8, 50, 0, 276322, 0, 0, 
14, 11, 5, 3, True, 2019-08-17T11:30:00Z, 2, 1, 2, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 15, 26.4, 0.0, 0.0, 2.6, 50, 90465, 443302, 113328, 22863, 
14, 24, 10, 1, False, 2019-08-24T16:30:00Z, 3, 1, 3, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 0, 13, 19.0, 0.0, 0.0, 1.9, 50, -41727, 409348, 23145, 64872, 
14, 31, 17, 3, True, 2019-09-01T15:30:00Z, 2, 2, 4, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 7, 0, 21, 29.6, 0.0, 0.0, 3.0, 50, -21012, 402670, 19796, 40808, 
14, 49, 18, 2, False, 2019-09-15T15:30:00Z, 2, 2, 5, 90, 0, 0, 0, 2, 0, 0, 0, 1, 0, 8, 0, 21, 45.4, 0.0, 0.0, 4.5, 50, -1074, 415601, 28035, 29109, 
14, 51, 2, 2, True, 2019-09-22T15:30:00Z, 3, 2, 6, 90, 0, 0, 0, 2, 0, 0, 0, 1, 0, 7, 0, 20, 37.4, 0.0, 0.0, 3.7, 50, 1093, 423237, 20277, 19184, 
14, 67, 12, 3, False, 2019-09-30T19:00:00Z, 1, 1, 7, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 13, 18.6, 0.0, 0.0, 1.9, 50, -26428, 397350, 7202, 33630, 
14, 71, 3, 6, True, 2019-10-06T13:00:00Z, 1, 0, 8, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 24, 15.0, 0.0, 0.0, 1.5, 50, 17314, 422070, 31190, 13876, 
14, 88, 15, 2, False, 2019-10-21T19:00:00Z, 1, 0, 9, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 14, 9.2, 0.0, 0.0, 0.9, 50, 25910, 453397, 39293, 13383, 
14, 91, 7, 1, True, 2019-10-27T16:30:00Z, 2, 2, 10, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 13, 18.4, 0.0, 0.0, 1.8, 50, -3205, 450831, 10474, 13679, 
14, 101, 20, 4, True, 2019-11-02T15:00:00Z, 1, 1, 11, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 0, 23, 51.2, 0.0, 0.0, 5.1, 50, -18954, 433193, 6033, 24987, 
14, 113, 9, 2, False, 2019-11-09T17:30:00Z, 2, 0, 12, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 22, 42.4, 0.0, 0.0, 4.2, 50, -15265, 418549, 3591, 18856, 
14, 121, 16, 9, True, 2019-11-23T15:00:00Z, 2, 2, 13, 90, 0, 0, 0, 2, 0, 1, 0, 0, 0, 4, 2, 30, 43.6, 0.0, 0.0, 4.4, 50, -1824, 422958, 16185, 18009, 
14, 137, 14, 3, False, 2019-12-01T14:00:00Z, 2, 2, 14, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 6, 0, 20, 48.8, 0.0, 0.0, 4.9, 50, -1757, 421399, 10066, 11823, 
14, 141, 4, 0, True, 2019-12-05T20:15:00Z, None, None, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, 2338, 425444, 10722, 8384, 
