element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
87, 3, 16, 0, True, 2019-08-10T14:00:00Z, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, 0, 91379, 0, 0, 
87, 11, 1, 0, False, 2019-08-17T11:30:00Z, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -16408, 76445, 359, 16767, 
87, 30, 20, 0, False, 2019-08-25T15:30:00Z, 1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, -14652, 62700, 1044, 15696, 
87, 32, 10, 0, True, 2019-08-31T16:30:00Z, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, -7869, 55487, 600, 8469, 
87, 43, 4, 0, False, 2019-09-14T14:00:00Z, 1, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 43, -6529, 49598, 981, 7510, 
87, 52, 14, 0, True, 2019-09-21T14:00:00Z, 2, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 43, -3200, 46791, 773, 3973, 
87, 61, 2, 0, False, 2019-09-28T14:00:00Z, 2, 2, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 43, -3969, 43063, 534, 4503, 
87, 73, 8, 1, True, 2019-10-05T14:00:00Z, 1, 0, 8, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14.0, 14.6, 2.0, 3.1, 42, -2274, 41043, 565, 2839, 
87, 86, 9, 0, False, 2019-10-19T14:00:00Z, 2, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 42, -202, 41394, 2304, 2506, 
87, 93, 6, 0, True, 2019-10-26T16:30:00Z, 2, 4, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 42, -536, 40984, 1191, 1727, 
87, 108, 15, 1, False, 2019-11-02T15:00:00Z, 3, 0, 11, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7.6, 18.9, 0.0, 2.7, 42, -1262, 39857, 875, 2137, 
87, 111, 19, 6, True, 2019-11-09T15:00:00Z, 3, 0, 12, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 21, 12.6, 6.1, 0.0, 1.9, 42, -830, 39161, 692, 1522, 
87, 129, 18, 6, False, 2019-11-23T15:00:00Z, 0, 3, 13, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 25, 16.4, 0.9, 0.0, 1.7, 42, 8372, 49358, 10669, 2297, 
87, 131, 7, 1, True, 2019-11-30T15:00:00Z, 0, 2, 14, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2.6, 0.8, 0.0, 0.3, 42, 20452, 71404, 23174, 2722, 
87, 142, 11, 0, True, 2019-12-03T20:15:00Z, 1, 4, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 42, -4950, 64444, 1554, 6504, 
87, 158, 17, 0, False, 2019-12-07T15:00:00Z, 5, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 42, -6877, 57658, 800, 7677, 
