element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
437, 3, 5, 2, False, 2019-08-10T14:00:00Z, 3, 0, 1, 72, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, -5, 0.0, 1.8, 21.0, 1.6, 60, 0, 75736, 0, 0, 
437, 19, 10, 2, True, 2019-08-17T14:00:00Z, 1, 2, 2, 67, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 0.2, 12.2, 16.0, 2.8, 60, -8706, 70309, 1924, 10630, 
437, 23, 4, 2, False, 2019-08-24T14:00:00Z, 0, 2, 3, 79, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5.4, 13.0, 56.0, 7.4, 59, -6852, 65044, 8171, 15023, 
437, 39, 12, 2, True, 2019-08-31T11:30:00Z, 1, 1, 4, 61, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 1.0, 12.8, 10.0, 2.4, 58, -14908, 50641, 2082, 16990, 
437, 47, 15, 2, False, 2019-09-14T14:00:00Z, 0, 1, 5, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6.0, 12.6, 52.0, 7.1, 58, -6197, 45633, 4006, 10203, 
437, 59, 3, 5, True, 2019-09-20T19:00:00Z, 1, 3, 6, 76, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 17, 4.2, 23.5, 12.0, 4.0, 57, -3725, 42416, 2915, 6640, 
437, 69, 17, 0, False, 2019-09-28T14:00:00Z, 2, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 57, -3213, 39747, 3665, 6878, 
437, 78, 6, 1, True, 2019-10-06T13:00:00Z, 1, 4, 8, 9, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 4.0, 0.2, 56, -4216, 35647, 1128, 5344, 
437, 90, 20, 0, False, 2019-10-19T14:00:00Z, 1, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 56, -3120, 32856, 913, 4033, 
437, 98, 9, 0, True, 2019-10-25T19:00:00Z, 0, 9, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 55, -1982, 31078, 510, 2492, 
437, 107, 11, 1, False, 2019-11-02T15:00:00Z, 2, 1, 11, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0.0, 1.1, 0.0, 0.1, 55, -2386, 28837, 510, 2896, 
