element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
91, 3, 16, 2, True, 2019-08-10T14:00:00Z, 3, 0, 1, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0.0, 0.7, 8.0, 0.8, 65, 0, 99872, 0, 0, 
91, 11, 1, 2, False, 2019-08-17T11:30:00Z, 2, 1, 2, 60, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6, 1.4, 12.8, 8.0, 2.2, 65, -19415, 82910, 1717, 21132, 
91, 30, 20, 2, False, 2019-08-25T15:30:00Z, 1, 1, 3, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 9.4, 13.8, 65.0, 8.8, 64, -23835, 60327, 3531, 27366, 
91, 32, 10, 0, True, 2019-08-31T16:30:00Z, 0, 3, 4, 90, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, -4, 0.0, 13.2, 17.0, 2.9, 63, -17050, 44380, 1994, 19044, 
91, 43, 4, 2, False, 2019-09-14T14:00:00Z, 1, 1, 5, 65, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0.0, 0.4, 6.0, 0.3, 63, -1197, 44860, 9452, 10649, 
91, 52, 14, 13, True, 2019-09-21T14:00:00Z, 2, 0, 6, 90, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 53, 72.6, 14.4, 111.0, 19.8, 63, -5171, 39978, 2415, 7586, 
91, 61, 2, 7, False, 2019-09-28T14:00:00Z, 2, 2, 7, 90, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 25, 33.6, 1.3, 37.0, 7.2, 62, 18088, 60936, 23966, 5878, 
91, 73, 8, 2, True, 2019-10-05T14:00:00Z, 1, 0, 8, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2.4, 1.1, 8.0, 1.2, 62, 29628, 93127, 36120, 6492, 
91, 86, 9, 5, False, 2019-10-19T14:00:00Z, 2, 1, 9, 90, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 12, 45.2, 17.7, 56.0, 11.9, 62, -8617, 83201, 8001, 16618, 
91, 93, 6, 0, True, 2019-10-26T16:30:00Z, 2, 4, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 62, 8459, 93257, 19231, 10772, 
91, 108, 15, 0, False, 2019-11-02T15:00:00Z, 3, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 62, -19733, 72869, 2272, 22005, 
