code, team_home, team_home_score, team_away, team_away_score, event, finished, minutes, event_name, is_home
1059773, 4, None, 17, None, 8, False, 0, Gameweek 8, False, 
1059790, 17, None, 18, None, 9, False, 0, Gameweek 9, True, 
1059795, 10, None, 17, None, 10, False, 0, Gameweek 10, False, 
1059807, 8, None, 17, None, 11, False, 0, Gameweek 11, False, 
1059820, 17, None, 15, None, 12, False, 0, Gameweek 12, True, 
1059831, 19, None, 17, None, 13, False, 0, Gameweek 13, False, 
1059840, 17, None, 3, None, 14, False, 0, Gameweek 14, True, 
1059845, 12, None, 17, None, 15, False, 0, Gameweek 15, False, 
1059859, 17, None, 5, None, 16, False, 0, Gameweek 16, True, 
1059871, 20, None, 17, None, 17, False, 0, Gameweek 17, False, 
1059879, 17, None, 6, None, 18, False, 0, Gameweek 18, True, 
1059890, 17, None, 4, None, 19, False, 0, Gameweek 19, True, 
1059898, 14, None, 17, None, 20, False, 0, Gameweek 20, False, 
1059909, 16, None, 17, None, 21, False, 0, Gameweek 21, False, 
1059920, 17, None, 10, None, 22, False, 0, Gameweek 22, True, 
1059930, 18, None, 17, None, 23, False, 0, Gameweek 23, False, 
1059941, 17, None, 14, None, 24, False, 0, Gameweek 24, True, 
1059949, 17, None, 11, None, 25, False, 0, Gameweek 25, True, 
1059953, 2, None, 17, None, 26, False, 0, Gameweek 26, False, 
1059964, 6, None, 17, None, 27, False, 0, Gameweek 27, False, 
1059979, 17, None, 20, None, 28, False, 0, Gameweek 28, True, 
1059983, 5, None, 17, None, 29, False, 0, Gameweek 29, False, 
1059999, 17, None, 12, None, 30, False, 0, Gameweek 30, True, 
1060010, 17, None, 19, None, 31, False, 0, Gameweek 31, True, 
1060019, 15, None, 17, None, 32, False, 0, Gameweek 32, False, 
1060030, 17, None, 8, None, 33, False, 0, Gameweek 33, True, 
1060032, 3, None, 17, None, 34, False, 0, Gameweek 34, False, 
1060049, 17, None, 1, None, 35, False, 0, Gameweek 35, True, 
1060059, 13, None, 17, None, 36, False, 0, Gameweek 36, False, 
1060069, 17, None, 9, None, 37, False, 0, Gameweek 37, True, 
1060075, 7, None, 17, None, 38, False, 0, Gameweek 38, False, 
