element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
354, 7, 4, 0, True, 2019-08-10T14:00:00Z, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, 0, 13634, 0, 0, 
354, 15, 8, 0, False, 2019-08-17T14:00:00Z, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -1858, 13492, 227, 2085, 
354, 29, 19, 0, True, 2019-08-24T14:00:00Z, 1, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, -1512, 12470, 225, 1737, 
354, 38, 13, 2, False, 2019-08-31T14:00:00Z, 1, 1, 4, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 14, 19.8, 0.0, 0.0, 2.0, 44, -1002, 11802, 262, 1264, 
354, 49, 1, 1, True, 2019-09-15T15:30:00Z, 2, 2, 5, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 7, 7.2, 0.0, 8.0, 1.5, 44, -244, 11964, 577, 821, 
354, 57, 11, 0, False, 2019-09-21T14:00:00Z, 8, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, -116, 12018, 416, 532, 
354, 70, 20, 0, False, 2019-09-28T14:00:00Z, 2, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, -606, 11516, 148, 754, 
354, 79, 15, 7, True, 2019-10-05T14:00:00Z, 0, 0, 8, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 28, 30.2, 0.3, 2.0, 3.3, 43, -419, 11224, 200, 619, 
354, 89, 17, 2, False, 2019-10-19T14:00:00Z, 1, 1, 9, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 16, 40.8, 0.2, 0.0, 4.1, 43, 422, 11921, 830, 408, 
354, 99, 3, 6, True, 2019-10-26T14:00:00Z, 0, 0, 10, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 23, 24.2, 0.6, 0.0, 2.5, 43, 817, 13004, 1218, 401, 
354, 109, 6, 0, True, 2019-11-02T17:30:00Z, 1, 2, 11, 90, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 10, 14.0, 0.8, 0.0, 1.5, 43, 919, 14119, 1549, 630, 
