element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
275, 1, 10, 0, False, 2019-08-09T19:00:00Z, 4, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, 0, 1528, 0, 0, 
275, 17, 13, 0, True, 2019-08-17T14:00:00Z, 3, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -241, 1356, 27, 268, 
275, 26, 6, 0, True, 2019-08-24T11:30:00Z, 2, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -139, 1245, 25, 164, 
275, 40, 19, 1, False, 2019-08-31T14:00:00Z, 2, 0, 4, 35, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 6.6, 0.0, 2.0, 0.9, 45, -38, 1311, 88, 126, 
275, 46, 11, 0, True, 2019-09-14T16:30:00Z, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -114, 1253, 66, 180, 
275, 52, 5, 0, False, 2019-09-21T14:00:00Z, 2, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -100, 1155, 23, 123, 
275, 64, 7, 0, False, 2019-09-28T14:00:00Z, 2, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -81, 1082, 13, 94, 
275, 77, 2, 0, True, 2019-10-05T14:00:00Z, 1, 5, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -61, 1023, 7, 68, 
275, 82, 3, 0, False, 2019-10-19T14:00:00Z, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -25, 1001, 16, 41, 
275, 97, 12, 0, True, 2019-10-27T16:30:00Z, 1, 3, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -33, 972, 6, 39, 
275, 104, 4, 0, False, 2019-11-02T15:00:00Z, 2, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, -18, 952, 7, 25, 
