element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
259, 10, 1, 0, True, 2019-08-11T13:00:00Z, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, 0, 11409, 0, 0, 
259, 17, 14, 0, False, 2019-08-17T14:00:00Z, 3, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -1027, 11813, 215, 1242, 
259, 28, 17, 0, False, 2019-08-25T15:30:00Z, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -1163, 11016, 103, 1266, 
259, 38, 18, 0, True, 2019-08-31T14:00:00Z, 1, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, -648, 10820, 281, 929, 
259, 44, 10, 0, False, 2019-09-14T11:30:00Z, 3, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, -520, 10613, 293, 813, 
259, 58, 4, 0, True, 2019-09-21T16:30:00Z, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, -340, 10430, 159, 499, 
259, 66, 9, 0, False, 2019-09-29T15:30:00Z, 5, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, -523, 10041, 101, 624, 
259, 76, 12, 6, True, 2019-10-06T15:30:00Z, 1, 0, 8, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 22, 10.6, 0.2, 0.0, 1.1, 44, -376, 9751, 50, 426, 
259, 83, 6, 1, False, 2019-10-19T14:00:00Z, 1, 0, 9, 90, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 6, 22.2, 0.3, 4.0, 2.7, 43, 116, 10045, 430, 314, 
259, 96, 20, 1, True, 2019-10-27T14:00:00Z, 1, 1, 10, 90, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 13, 19.8, 1.1, 0.0, 2.1, 43, 652, 10842, 919, 267, 
259, 110, 19, 7, False, 2019-11-02T15:00:00Z, 2, 3, 11, 90, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 25, 55.4, 10.7, 33.0, 9.9, 43, 350, 11352, 828, 478, 
