element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
105, 9, 12, 0, False, 2019-08-11T15:30:00Z, 4, 0, 1, 90, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 9, 24.0, 16.8, 2.0, 4.3, 60, 0, 471790, 0, 0, 
105, 14, 9, 2, True, 2019-08-18T15:30:00Z, 1, 1, 2, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 13, 19.8, 30.5, 6.0, 5.6, 60, -45085, 468158, 11906, 56991, 
105, 26, 14, 4, False, 2019-08-24T11:30:00Z, 2, 3, 3, 90, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 25, 30.8, 22.0, 19.0, 7.2, 60, -31471, 448809, 12876, 44347, 
105, 33, 15, 1, True, 2019-08-31T14:00:00Z, 2, 2, 4, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 20, 25.4, 31.6, 4.0, 6.1, 60, -10926, 451639, 18981, 29907, 
105, 50, 20, 1, False, 2019-09-14T14:00:00Z, 2, 5, 5, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 8, 12.4, 12.5, 4.0, 2.9, 59, -40098, 415120, 7111, 47209, 
105, 53, 10, 4, True, 2019-09-22T15:30:00Z, 1, 2, 6, 90, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 27, 38.8, 54.9, 6.0, 10.0, 59, -25615, 393077, 3269, 28884, 
105, 63, 4, 7, True, 2019-09-28T14:00:00Z, 2, 0, 7, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 28, 22.8, 12.1, 4.0, 3.9, 59, 13598, 414252, 31753, 18155, 
105, 78, 16, 2, False, 2019-10-06T13:00:00Z, 1, 4, 8, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 8, 9.8, 2.2, 0.0, 1.2, 59, 8405, 425472, 19139, 10734, 
105, 83, 13, 6, True, 2019-10-19T14:00:00Z, 1, 0, 9, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 23, 14.2, 5.3, 4.0, 2.4, 59, -255, 428043, 14030, 14285, 
105, 93, 5, 1, False, 2019-10-26T16:30:00Z, 2, 4, 10, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 19, 18.2, 13.2, 4.0, 3.5, 59, 4646, 434369, 12357, 7711, 
105, 109, 18, 2, False, 2019-11-02T17:30:00Z, 1, 2, 11, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 12, 18.6, 8.0, 8.0, 3.5, 59, -3866, 432864, 12120, 15986, 
