element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
81, 2, 15, 0, True, 2019-08-10T14:00:00Z, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, 0, 1322, 0, 0, 
81, 12, 2, 0, False, 2019-08-17T14:00:00Z, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -264, 1082, 16, 280, 
81, 22, 11, 0, True, 2019-08-25T13:00:00Z, 1, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -137, 961, 17, 154, 
81, 36, 9, 0, False, 2019-08-31T14:00:00Z, 3, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 49, -111, 864, 11, 122, 
81, 42, 8, 0, True, 2019-09-15T13:00:00Z, 3, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 49, -91, 782, 9, 100, 
81, 59, 16, 0, False, 2019-09-20T19:00:00Z, 1, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 49, -37, 749, 3, 40, 
81, 62, 19, 0, True, 2019-09-28T14:00:00Z, 2, 2, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 49, -29, 728, 18, 47, 
81, 71, 1, 0, False, 2019-10-06T13:00:00Z, 1, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 49, -26, 703, 5, 31, 
81, 82, 14, 0, True, 2019-10-19T14:00:00Z, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 49, -22, 686, 5, 27, 
81, 99, 18, 0, False, 2019-10-26T14:00:00Z, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 49, -3, 684, 5, 8, 
81, 103, 12, 0, True, 2019-11-02T12:30:00Z, 1, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 49, -3, 682, 11, 14, 
81, 116, 13, 0, False, 2019-11-09T15:00:00Z, 2, 1, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 49, -6, 686, 7, 13, 
81, 123, 20, 1, True, 2019-11-23T15:00:00Z, 1, 2, 13, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2.4, 0.0, 0.0, 0.2, 49, 68, 819, 89, 21, 
81, 139, 17, 1, False, 2019-11-30T15:00:00Z, 3, 2, 14, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 10.3, 22.0, 3.1, 49, 9, 839, 40, 31, 
81, 148, 7, 0, False, 2019-12-03T19:30:00Z, 1, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 49, 14, 868, 33, 19, 
