element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
313, 3, 5, 2, False, 2019-08-10T14:00:00Z, 3, 0, 1, 65, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 8, 4.8, 11.0, 0.0, 1.6, 60, 0, 130990, 0, 0, 
313, 19, 10, 6, True, 2019-08-17T14:00:00Z, 1, 2, 2, 26, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 22, 29.2, 0.8, 59.0, 8.9, 60, -17541, 119615, 3638, 21179, 
313, 23, 4, 5, False, 2019-08-24T14:00:00Z, 0, 2, 3, 83, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 15, 21.8, 31.6, 13.0, 6.6, 60, 10194, 137130, 30693, 20499, 
313, 39, 12, 2, True, 2019-08-31T11:30:00Z, 1, 1, 4, 76, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 11.2, 14.8, 24.0, 5.0, 60, 3546, 144458, 27796, 24250, 
313, 47, 15, 1, False, 2019-09-14T14:00:00Z, 0, 1, 5, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7.4, 0.7, 2.0, 1.0, 60, 6919, 155525, 31088, 24169, 
313, 59, 3, 1, True, 2019-09-20T19:00:00Z, 1, 3, 6, 13, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 1.0, 10.3, 44.0, 5.5, 60, -26405, 128793, 5508, 31913, 
313, 69, 17, 9, False, 2019-09-28T14:00:00Z, 2, 1, 7, 82, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 3, 33, 41.4, 12.6, 45.0, 9.9, 59, -27932, 101538, 2935, 30867, 
313, 78, 6, 7, True, 2019-10-06T13:00:00Z, 1, 4, 8, 80, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 27, 36.4, 10.8, 61.0, 10.8, 59, 6341, 110197, 13465, 7124, 
313, 90, 20, 9, False, 2019-10-19T14:00:00Z, 1, 1, 9, 90, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 27, 34.6, 10.9, 82.0, 12.8, 59, 7913, 119680, 15442, 7529, 
313, 98, 9, 1, True, 2019-10-25T19:00:00Z, 0, 9, 10, 45, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5.0, 1.8, 1.0, 0.8, 59, 94428, 220367, 99856, 5428, 
313, 107, 11, 2, False, 2019-11-02T15:00:00Z, 2, 1, 11, 83, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 7, 8.6, 1.7, 7.0, 1.7, 60, -17345, 201569, 21526, 38871, 
313, 118, 8, 7, True, 2019-11-09T15:00:00Z, 1, 2, 12, 90, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 27, 38.6, 0.6, 35.0, 7.4, 60, -11700, 190281, 10180, 21880, 
313, 121, 1, 6, False, 2019-11-23T15:00:00Z, 2, 2, 13, 72, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 24, 31.4, 11.3, 26.0, 6.9, 60, 34252, 228098, 51513, 17261, 
313, 138, 18, 9, True, 2019-11-30T17:30:00Z, 2, 1, 14, 90, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 38, 47.8, 26.6, 56.0, 13.0, 61, 229742, 466242, 239875, 10133, 
313, 150, 14, 9, True, 2019-12-04T19:30:00Z, 2, 1, 15, 76, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 32, 41.6, 21.8, 71.0, 13.4, 62, 159444, 625702, 168438, 8994, 
