element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
106, 10, 13, 0, False, 2019-08-11T13:00:00Z, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 60, 0, 514779, 0, 0, 
106, 11, 5, 1, True, 2019-08-17T11:30:00Z, 2, 1, 2, 90, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 13, 31.8, 4.1, 0.0, 3.6, 60, -54730, 526000, 16788, 71518, 
106, 24, 10, 0, False, 2019-08-24T16:30:00Z, 3, 1, 3, 90, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 10, 25.0, 0.7, 1.0, 2.7, 60, -54756, 488076, 10870, 65626, 
106, 31, 17, 1, True, 2019-09-01T15:30:00Z, 2, 2, 4, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 13, 15.2, 1.0, 2.0, 1.8, 59, -62069, 435597, 4935, 67004, 
106, 49, 18, 1, False, 2019-09-15T15:30:00Z, 2, 2, 5, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 12, 15.8, 3.3, 0.0, 1.9, 59, -32892, 412694, 8489, 41381, 
106, 51, 2, 1, True, 2019-09-22T15:30:00Z, 3, 2, 6, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 15, 23.2, 0.8, 13.0, 3.7, 59, -21260, 396539, 4812, 26072, 
106, 67, 12, 2, False, 2019-09-30T19:00:00Z, 1, 1, 7, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 14, 30.6, 7.1, 10.0, 4.8, 58, -28407, 371083, 2889, 31296, 
106, 71, 3, 15, True, 2019-10-06T13:00:00Z, 1, 0, 8, 90, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 39, 41.2, 3.4, 17.0, 6.2, 58, -10359, 364462, 4838, 15197, 
106, 88, 15, 2, False, 2019-10-21T19:00:00Z, 1, 0, 9, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 13, 14.8, 4.1, 0.0, 1.9, 58, 19790, 394485, 27244, 7454, 
106, 91, 7, 7, True, 2019-10-27T16:30:00Z, 2, 2, 10, 90, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 26, 54.4, 0.5, 50.0, 10.5, 58, 2965, 398701, 10956, 7991, 
106, 101, 20, 2, True, 2019-11-02T15:00:00Z, 1, 1, 11, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 13, 24.6, 7.6, 0.0, 3.2, 58, 18307, 424688, 27586, 9279, 
106, 113, 9, 1, False, 2019-11-09T17:30:00Z, 2, 0, 12, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 10, 10.2, 16.8, 1.0, 2.8, 58, -5629, 421640, 9676, 15305, 
106, 121, 16, 1, True, 2019-11-23T15:00:00Z, 2, 2, 13, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 16, 26.4, 1.0, 4.0, 3.1, 58, -3662, 423106, 13244, 16906, 
106, 137, 14, 1, False, 2019-12-01T14:00:00Z, 2, 2, 14, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 15, 21.0, 4.8, 18.0, 4.4, 58, -26529, 395421, 2098, 28627, 
106, 141, 4, 0, True, 2019-12-05T20:15:00Z, None, None, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 58, -11031, 386008, 1826, 12857, 
