code, team_home, team_home_score, team_away, team_away_score, event, finished, minutes, event_name, is_home
1059776, 11, None, 20, None, 8, False, 0, Gameweek 8, True, 
1059785, 7, None, 11, None, 9, False, 0, Gameweek 9, False, 
1059796, 11, None, 2, None, 10, False, 0, Gameweek 10, True, 
1059808, 11, None, 16, None, 11, False, 0, Gameweek 11, True, 
1059815, 10, None, 11, None, 12, False, 0, Gameweek 12, False, 
1059828, 11, None, 6, None, 13, False, 0, Gameweek 13, True, 
1059837, 13, None, 11, None, 14, False, 0, Gameweek 14, False, 
1059843, 5, None, 11, None, 15, False, 0, Gameweek 15, False, 
1059856, 11, None, 12, None, 16, False, 0, Gameweek 16, True, 
1059862, 1, None, 11, None, 17, False, 0, Gameweek 17, False, 
1059876, 11, None, 9, None, 18, False, 0, Gameweek 18, True, 
1059891, 20, None, 11, None, 19, False, 0, Gameweek 19, False, 
1059896, 11, None, 15, None, 20, False, 0, Gameweek 20, True, 
1059906, 11, None, 8, None, 21, False, 0, Gameweek 21, True, 
1059913, 2, None, 11, None, 22, False, 0, Gameweek 22, False, 
1059926, 11, None, 7, None, 23, False, 0, Gameweek 23, True, 
1059937, 15, None, 11, None, 24, False, 0, Gameweek 24, False, 
1059949, 17, None, 11, None, 25, False, 0, Gameweek 25, False, 
1059957, 11, None, 19, None, 26, False, 0, Gameweek 26, True, 
1059966, 9, None, 11, None, 27, False, 0, Gameweek 27, False, 
1059976, 11, None, 1, None, 28, False, 0, Gameweek 28, True, 
1059988, 12, None, 11, None, 29, False, 0, Gameweek 29, False, 
1059996, 11, None, 5, None, 30, False, 0, Gameweek 30, True, 
1060003, 6, None, 11, None, 31, False, 0, Gameweek 31, False, 
1060018, 11, None, 10, None, 32, False, 0, Gameweek 32, True, 
1060029, 16, None, 11, None, 33, False, 0, Gameweek 33, False, 
1060038, 11, None, 13, None, 34, False, 0, Gameweek 34, True, 
1060044, 4, None, 11, None, 35, False, 0, Gameweek 35, False, 
1060058, 11, None, 3, None, 36, False, 0, Gameweek 36, True, 
1060070, 18, None, 11, None, 37, False, 0, Gameweek 37, False, 
1060078, 11, None, 14, None, 38, False, 0, Gameweek 38, True, 
