element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
219, 8, 19, 3, False, 2019-08-10T11:30:00Z, 0, 5, 1, 79, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7.2, 32.3, 17.0, 5.7, 75, 0, 257201, 0, 0, 
219, 16, 17, 1, True, 2019-08-17T16:30:00Z, 2, 2, 2, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0.0, 0.6, 0.0, 0.1, 75, -7330, 287369, 33508, 40838, 
219, 22, 3, 10, False, 2019-08-25T13:00:00Z, 1, 3, 3, 90, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 2, 40, 52.6, 29.4, 44.0, 12.6, 75, -60674, 231338, 7684, 68358, 
219, 37, 4, 10, True, 2019-08-31T14:00:00Z, 4, 0, 4, 77, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 33, 37.6, 42.4, 15.0, 9.5, 74, 94197, 345449, 123356, 29159, 
219, 46, 14, 1, False, 2019-09-14T16:30:00Z, 3, 2, 5, 56, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 0.0, 9.6, 11.0, 2.0, 75, 199690, 572522, 241437, 41747, 
219, 57, 18, 11, True, 2019-09-21T14:00:00Z, 8, 0, 6, 90, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 44, 43.8, 21.9, 89.0, 15.5, 75, 5570, 578624, 67924, 62354, 
219, 65, 8, 1, False, 2019-09-28T16:30:00Z, 1, 3, 7, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0.0, 0.3, 0.0, 0.0, 76, 99017, 691813, 144913, 45896, 
219, 75, 20, 3, True, 2019-10-06T13:00:00Z, 0, 2, 8, 74, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 17.2, 28.0, 4.5, 76, 20422, 715344, 87377, 66955, 
219, 84, 7, 11, False, 2019-10-19T16:30:00Z, 0, 2, 9, 78, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 35, 48.0, 27.9, 34.0, 11.0, 76, -20135, 699287, 48658, 68793, 
219, 95, 2, 9, True, 2019-10-26T11:30:00Z, 3, 0, 10, 90, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 30, 51.2, 31.8, 59.0, 14.2, 76, 120003, 829755, 138831, 18828, 
219, 107, 16, 1, True, 2019-11-02T15:00:00Z, 2, 1, 11, 45, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 14, 5.4, 5.7, 79.0, 9.0, 77, 114121, 952441, 149228, 35107, 
219, 114, 10, 0, False, 2019-11-10T16:30:00Z, 3, 1, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 77, -297618, 638066, 21559, 319177, 
219, 127, 6, 2, True, 2019-11-23T17:30:00Z, 2, 1, 13, 66, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 14.0, 17.7, 6.0, 3.8, 76, -54233, 603218, 48893, 103126, 
219, 136, 13, 5, False, 2019-11-30T12:30:00Z, 2, 2, 14, 69, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 21, 26.2, 50.4, 36.0, 11.3, 76, -49557, 555253, 19964, 69521, 
219, 142, 5, 9, False, 2019-12-03T20:15:00Z, 1, 4, 15, 90, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 1, 33, 29.2, 51.9, 26.0, 10.7, 76, 5438, 564204, 27593, 22155, 
