element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
253, 10, 1, 0, True, 2019-08-11T13:00:00Z, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, 0, 3395, 0, 0, 
253, 17, 14, 0, False, 2019-08-17T14:00:00Z, 3, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -439, 3231, 80, 519, 
253, 28, 17, 0, False, 2019-08-25T15:30:00Z, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -377, 2929, 55, 432, 
253, 38, 18, 0, True, 2019-08-31T14:00:00Z, 1, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -266, 2702, 41, 307, 
253, 44, 10, 0, False, 2019-09-14T11:30:00Z, 3, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, -246, 2494, 36, 282, 
253, 58, 4, 0, True, 2019-09-21T16:30:00Z, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, -90, 2434, 34, 124, 
253, 66, 9, 1, False, 2019-09-29T15:30:00Z, 5, 0, 7, 16, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 1.2, 0.3, 0.0, 0.2, 44, -49, 2439, 81, 130, 
253, 76, 12, 5, True, 2019-10-06T15:30:00Z, 1, 0, 8, 90, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 18, 7.8, 5.0, 4.0, 1.7, 44, 130, 2724, 210, 80, 
253, 83, 6, 2, False, 2019-10-19T14:00:00Z, 1, 0, 9, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 13, 18.8, 7.4, 0.0, 2.6, 44, 501, 3447, 620, 119, 
253, 96, 20, 2, True, 2019-10-27T14:00:00Z, 1, 1, 10, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 12, 8.2, 18.3, 0.0, 2.7, 44, 746, 4354, 898, 152, 
253, 110, 19, 1, False, 2019-11-02T15:00:00Z, 2, 3, 11, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 4, 10.0, 0.8, 0.0, 1.1, 44, 1020, 5613, 1309, 289, 
253, 116, 3, 8, True, 2019-11-09T15:00:00Z, 2, 1, 12, 90, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 20, 44.2, 0.8, 35.0, 8.0, 44, 414, 6148, 751, 337, 
253, 122, 2, 1, False, 2019-11-25T20:00:00Z, 2, 0, 13, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 8, 12.8, 28.3, 0.0, 4.1, 44, 4081, 10922, 4766, 685, 
253, 136, 11, 0, True, 2019-11-30T12:30:00Z, 2, 2, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, -535, 10113, 994, 1529, 
253, 145, 15, 0, False, 2019-12-05T19:30:00Z, 0, 2, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, -1060, 9070, 68, 1128, 
253, 156, 16, 0, True, 2019-12-08T14:00:00Z, 2, 1, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, -787, 8320, 95, 882, 
