element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
186, 1, 14, 0, True, 2019-08-09T19:00:00Z, 4, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 55, 0, 18316, 0, 0, 
186, 19, 16, 0, False, 2019-08-17T14:00:00Z, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 55, -4349, 16605, 451, 4800, 
186, 24, 1, 0, True, 2019-08-24T16:30:00Z, 3, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 54, -3156, 13714, 55, 3211, 
186, 32, 5, 0, False, 2019-08-31T16:30:00Z, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 54, -1704, 12221, 85, 1789, 
186, 44, 13, 0, True, 2019-09-14T11:30:00Z, 3, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 53, -453, 12353, 419, 872, 
186, 53, 6, 0, False, 2019-09-22T15:30:00Z, 1, 2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 53, -393, 12269, 174, 567, 
186, 68, 15, 0, False, 2019-09-28T11:30:00Z, 0, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 53, -361, 12191, 244, 605, 
186, 74, 9, 2, True, 2019-10-05T14:00:00Z, 2, 1, 8, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 18, 19.8, 0.0, 6.0, 2.6, 53, -198, 12209, 317, 515, 
186, 87, 12, 0, False, 2019-10-20T15:30:00Z, 1, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 53, 685, 13284, 1139, 454, 
186, 94, 17, 1, True, 2019-10-27T16:30:00Z, 2, 1, 10, 90, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 14, 26.0, 2.3, 19.0, 4.7, 53, -137, 13304, 387, 524, 
186, 102, 2, 2, False, 2019-11-02T15:00:00Z, 1, 2, 11, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 15, 13.8, 1.8, 10.0, 2.6, 53, 8357, 22564, 9211, 854, 
186, 114, 11, 2, True, 2019-11-10T16:30:00Z, 3, 1, 12, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 13, 19.0, 0.4, 11.0, 3.0, 53, 293, 22599, 2198, 1905, 
186, 125, 7, 2, False, 2019-11-23T15:00:00Z, 1, 2, 13, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 13, 22.8, 2.1, 4.0, 2.9, 53, 9811, 33974, 11634, 1823, 
186, 134, 4, 2, True, 2019-11-30T15:00:00Z, 2, 1, 14, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 15, 11.0, 0.5, 2.0, 1.4, 53, 8830, 43283, 11104, 2274, 
186, 149, 8, 4, True, 2019-12-04T20:15:00Z, 5, 2, 15, 90, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 33, 46.0, 13.0, 0.0, 5.9, 53, 1387, 44239, 4267, 2880, 
