element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
69, 2, 15, 1, True, 2019-08-10T14:00:00Z, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0.0, 0.0, 0.0, 0.0, 55, 0, 31837, 0, 0, 
69, 12, 2, 1, False, 2019-08-17T14:00:00Z, 1, 2, 2, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2.8, 10.5, 2.0, 1.5, 55, -3131, 33763, 3002, 6133, 
69, 22, 11, 1, True, 2019-08-25T13:00:00Z, 1, 3, 3, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 4.2, 0.3, 54.0, 5.9, 55, -3846, 31326, 2758, 6604, 
69, 36, 9, 1, False, 2019-08-31T14:00:00Z, 3, 1, 4, 26, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 4.8, 2.1, 9.0, 1.6, 54, -2816, 29690, 2480, 5296, 
69, 42, 8, 2, True, 2019-09-15T13:00:00Z, 3, 1, 5, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 3.0, 11.8, 22.0, 3.7, 54, -1942, 28548, 2043, 3985, 
69, 59, 16, 2, False, 2019-09-20T19:00:00Z, 1, 3, 6, 76, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2.4, 12.4, 4.0, 1.9, 54, -310, 28714, 2321, 2631, 
69, 62, 19, 2, True, 2019-09-28T14:00:00Z, 2, 2, 7, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 2.8, 2.4, 26.0, 3.1, 54, 582, 29926, 3333, 2751, 
69, 71, 1, 2, False, 2019-10-06T13:00:00Z, 1, 0, 8, 62, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, -1, 3.4, 11.9, 8.0, 2.3, 54, 77, 30326, 2350, 2273, 
69, 82, 14, 2, True, 2019-10-19T14:00:00Z, 0, 0, 9, 61, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5.4, 1.3, 52.0, 5.9, 54, -152, 30538, 2028, 2180, 
69, 99, 18, 1, False, 2019-10-26T14:00:00Z, 0, 0, 10, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.0, 0.5, 8.0, 0.7, 54, -361, 30384, 967, 1328, 
69, 103, 12, 0, True, 2019-11-02T12:30:00Z, 1, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 54, -1357, 29178, 821, 2178, 
