element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
212, 8, 19, 7, False, 2019-08-10T11:30:00Z, 0, 5, 1, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 26, 28.8, 0.0, 0.0, 2.9, 60, 0, 980143, 0, 0, 
212, 16, 17, 1, True, 2019-08-17T16:30:00Z, 2, 2, 2, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 14, 5.0, 0.0, 0.0, 0.5, 61, 266555, 1436012, 325392, 58837, 
212, 22, 3, 3, False, 2019-08-25T13:00:00Z, 1, 3, 3, 90, 0, 0, 0, 1, 0, 0, 0, 1, 0, 6, 0, 17, 44.6, 0.0, 0.0, 4.5, 61, -31925, 1434805, 55218, 87143, 
212, 37, 4, 6, True, 2019-08-31T14:00:00Z, 4, 0, 4, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 24, 12.2, 0.0, 0.0, 1.2, 61, -7729, 1473362, 74003, 81732, 
212, 46, 14, 1, False, 2019-09-14T16:30:00Z, 3, 2, 5, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 8, 3.4, 0.0, 0.0, 0.3, 61, -6353, 1507919, 72978, 79331, 
212, 57, 18, 7, True, 2019-09-21T14:00:00Z, 8, 0, 6, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 30, 33.4, 0.0, 0.0, 3.3, 61, -48976, 1470015, 17135, 66111, 
212, 65, 8, 4, False, 2019-09-28T16:30:00Z, 1, 3, 7, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 6, 0, 22, 47.2, 0.0, 0.0, 4.7, 61, -6788, 1482823, 46811, 53599, 
212, 75, 20, 0, True, 2019-10-06T13:00:00Z, 0, 2, 8, 90, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 5, 2.8, 0.0, 0.0, 0.3, 61, 10211, 1508794, 40520, 30309, 
212, 84, 7, 6, False, 2019-10-19T16:30:00Z, 0, 2, 9, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 23, 19.6, 0.0, 0.0, 2.0, 61, -17649, 1499826, 42647, 60296, 
212, 95, 2, 9, True, 2019-10-26T11:30:00Z, 3, 0, 10, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 5, 2, 32, 35.4, 3.0, 0.0, 3.8, 61, 2523, 1510598, 26409, 23886, 
212, 107, 16, 1, True, 2019-11-02T15:00:00Z, 2, 1, 11, 90, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2, 0, 6, 6.2, 0.0, 0.0, 0.6, 61, 28443, 1552931, 50729, 22286, 
