element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
283, 1, 10, 4, False, 2019-08-09T19:00:00Z, 4, 1, 1, 90, 0, 1, 0, 4, 0, 0, 0, 1, 0, 0, 0, 16, 34.2, 40.5, 24.0, 9.9, 60, 0, 24938, 0, 0, 
283, 17, 13, 2, True, 2019-08-17T14:00:00Z, 3, 1, 2, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 11, 15.2, 62.8, 8.0, 8.6, 60, 13260, 52193, 18170, 4910, 
283, 26, 6, 5, True, 2019-08-24T11:30:00Z, 2, 3, 3, 90, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 24, 41.4, 41.8, 9.0, 9.2, 60, -6989, 44828, 2730, 9719, 
283, 40, 19, 2, False, 2019-08-31T14:00:00Z, 2, 0, 4, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 6, 12.4, 5.3, 2.0, 2.0, 60, 3727, 50903, 9985, 6258, 
283, 46, 11, 11, True, 2019-09-14T16:30:00Z, 3, 2, 5, 82, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 3, 39, 53.0, 40.1, 5.0, 9.8, 60, -6973, 44052, 1943, 8916, 
283, 52, 5, 2, False, 2019-09-21T14:00:00Z, 2, 0, 6, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 8, 10.6, 15.3, 29.0, 5.5, 60, 83764, 138133, 91754, 7990, 
283, 64, 7, 2, False, 2019-09-28T14:00:00Z, 2, 0, 7, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 13, 24.2, 45.8, 39.0, 10.9, 60, 3655, 140417, 26229, 22574, 
283, 77, 2, 2, True, 2019-10-05T14:00:00Z, 1, 5, 8, 90, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 11, 21.8, 38.8, 52.0, 11.3, 60, -3786, 139080, 16219, 20005, 
283, 82, 3, 3, False, 2019-10-19T14:00:00Z, 0, 0, 9, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 14, 23.8, 56.8, 2.0, 8.3, 60, -21747, 116843, 4534, 26281, 
283, 97, 12, 2, True, 2019-10-27T16:30:00Z, 1, 3, 10, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 9, 16.0, 25.6, 8.0, 5.0, 60, -12591, 105025, 1359, 13950, 
283, 104, 4, 2, False, 2019-11-02T15:00:00Z, 2, 0, 11, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 16, 15.4, 44.8, 9.0, 6.9, 60, -16363, 88954, 1484, 17847, 
283, 117, 18, 2, True, 2019-11-08T20:00:00Z, 0, 2, 12, 61, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 7, 3.0, 5.6, 4.0, 1.3, 60, -3606, 86934, 4929, 8535, 
283, 126, 8, 1, False, 2019-11-23T15:00:00Z, 0, 2, 13, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1.0, 0.1, 0.0, 0.1, 60, -12106, 74273, 941, 13047, 
283, 137, 1, 1, True, 2019-12-01T14:00:00Z, 2, 2, 14, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 10.6, 38.8, 2.0, 5.1, 60, -6488, 68239, 650, 7138, 
283, 150, 16, 1, False, 2019-12-04T19:30:00Z, 2, 1, 15, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1.2, 1.8, 4.0, 0.7, 60, -4623, 63852, 336, 4959, 
