element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
350, 6, 2, 0, True, 2019-08-10T16:30:00Z, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, 0, 10534, 0, 0, 
350, 16, 11, 0, False, 2019-08-17T16:30:00Z, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -155, 14247, 1599, 1754, 
350, 28, 13, 0, True, 2019-08-25T15:30:00Z, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -1157, 14141, 957, 2114, 
350, 31, 1, 0, False, 2019-09-01T15:30:00Z, 2, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -1054, 14037, 997, 2051, 
350, 48, 7, 0, True, 2019-09-14T14:00:00Z, 4, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 49, -2356, 11793, 148, 2504, 
350, 56, 9, 0, False, 2019-09-21T11:30:00Z, 2, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 49, -132, 12183, 486, 618, 
350, 69, 16, 1, True, 2019-09-28T14:00:00Z, 2, 1, 7, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.2, 0.2, 17.0, 2.0, 49, -301, 12277, 439, 740, 
350, 72, 4, 1, False, 2019-10-05T11:30:00Z, 3, 0, 8, 90, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 7, 15.8, 11.0, 0.0, 2.7, 49, -176, 12346, 356, 532, 
350, 89, 18, 0, True, 2019-10-19T14:00:00Z, 1, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 49, -163, 12436, 319, 482, 
350, 94, 10, 0, False, 2019-10-27T16:30:00Z, 2, 1, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 49, -186, 12365, 162, 348, 
350, 106, 8, 0, False, 2019-11-03T16:30:00Z, 1, 1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 49, -214, 12365, 272, 486, 
350, 119, 15, 1, True, 2019-11-09T15:00:00Z, 1, 1, 12, 90, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 7, 17.4, 3.3, 2.0, 2.3, 49, -99, 12430, 211, 310, 
350, 130, 19, 2, False, 2019-11-23T12:30:00Z, 2, 3, 13, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 12, 11.2, 13.3, 10.0, 3.5, 49, 399, 13082, 844, 445, 
350, 139, 3, 2, True, 2019-11-30T15:00:00Z, 3, 2, 14, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 14, 19.2, 13.5, 0.0, 3.3, 49, 918, 14153, 1378, 460, 
350, 144, 12, 0, False, 2019-12-04T19:30:00Z, 2, 1, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 49, 19, 14200, 450, 431, 
350, 158, 5, 2, True, 2019-12-07T15:00:00Z, 5, 0, 16, 90, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 8, 15.4, 12.3, 2.0, 3.0, 49, -343, 13940, 264, 607, 
