element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
221, 8, 19, 0, False, 2019-08-10T11:30:00Z, 0, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 55, 0, 70381, 0, 0, 
221, 16, 17, 0, True, 2019-08-17T16:30:00Z, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 54, -14114, 65483, 3365, 17479, 
221, 22, 3, 0, False, 2019-08-25T13:00:00Z, 1, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 54, -11912, 55416, 1433, 13345, 
221, 37, 4, 1, True, 2019-08-31T14:00:00Z, 4, 0, 4, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 16.8, 0.8, 0.0, 1.8, 53, -6828, 50223, 1746, 8574, 
221, 46, 14, 0, False, 2019-09-14T16:30:00Z, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 53, -3148, 48383, 2051, 5199, 
221, 57, 18, 3, True, 2019-09-21T14:00:00Z, 8, 0, 6, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 20, 23.0, 1.6, 2.0, 2.7, 53, -2099, 47026, 1568, 3667, 
221, 65, 8, 2, False, 2019-09-28T16:30:00Z, 1, 3, 7, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 19, 35.6, 11.3, 0.0, 4.7, 53, -946, 46651, 1953, 2899, 
221, 75, 20, 1, True, 2019-10-06T13:00:00Z, 0, 2, 8, 90, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 12, 25.2, 2.3, 4.0, 3.2, 52, -472, 46633, 1672, 2144, 
221, 84, 7, 3, False, 2019-10-19T16:30:00Z, 0, 2, 9, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 13, 15.2, 3.2, 2.0, 2.0, 52, -781, 46360, 1232, 2013, 
221, 95, 2, 0, True, 2019-10-26T11:30:00Z, 3, 0, 10, 86, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 7.2, 1.9, 43.0, 5.2, 52, 608, 47402, 1744, 1136, 
221, 107, 16, 2, True, 2019-11-02T15:00:00Z, 2, 1, 11, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 11, 15.6, 13.0, 6.0, 3.5, 52, -1564, 46163, 1341, 2905, 
