element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
529, 9, 12, 0, False, 2019-08-11T15:30:00Z, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, 0, 0, 0, 0, 
529, 14, 9, 0, True, 2019-08-18T15:30:00Z, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, 277, 1050, 358, 81, 
529, 26, 14, 0, False, 2019-08-24T11:30:00Z, 2, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, 163, 1768, 459, 296, 
529, 33, 15, 1, True, 2019-08-31T14:00:00Z, 2, 2, 4, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 14, 25.8, 13.8, 0.0, 4.0, 45, 44, 2372, 401, 357, 
529, 50, 20, 9, False, 2019-09-14T14:00:00Z, 2, 5, 5, 90, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 33, 63.8, 0.8, 7.0, 7.2, 45, 1030, 4187, 1829, 799, 
529, 53, 10, 0, True, 2019-09-22T15:30:00Z, 1, 2, 6, 90, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 16, 17.0, 10.8, 22.0, 5.0, 45, 38938, 47587, 44394, 5456, 
529, 63, 4, 7, True, 2019-09-28T14:00:00Z, 2, 0, 7, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 28, 16.6, 1.1, 0.0, 1.8, 46, 120047, 174368, 128521, 8474, 
529, 78, 16, 2, False, 2019-10-06T13:00:00Z, 1, 4, 8, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 8, 11.8, 0.8, 0.0, 1.3, 47, 157252, 341651, 163889, 6637, 
529, 83, 13, 5, True, 2019-10-19T14:00:00Z, 1, 0, 9, 90, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 24, 19.4, 1.8, 6.0, 2.7, 47, 85592, 427927, 102604, 17012, 
529, 93, 5, 1, False, 2019-10-26T16:30:00Z, 2, 4, 10, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 14, 29.2, 11.1, 0.0, 4.0, 48, 46873, 474501, 56805, 9932, 
529, 109, 18, 2, False, 2019-11-02T17:30:00Z, 1, 2, 11, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 18, 28.8, 10.7, 0.0, 4.0, 48, 43001, 522309, 58648, 15647, 
