code, team_home, team_home_score, team_away, team_away_score, event, finished, minutes, event_name, is_home
1059777, 13, None, 12, None, 8, False, 0, Gameweek 8, True, 
1059784, 6, None, 13, None, 9, False, 0, Gameweek 9, False, 
1059797, 13, None, 20, None, 10, False, 0, Gameweek 10, True, 
1059811, 19, None, 13, None, 11, False, 0, Gameweek 11, False, 
1059817, 13, None, 3, None, 12, False, 0, Gameweek 12, True, 
1059824, 2, None, 13, None, 13, False, 0, Gameweek 13, False, 
1059837, 13, None, 11, None, 14, False, 0, Gameweek 14, True, 
1059846, 15, None, 13, None, 15, False, 0, Gameweek 15, False, 
1059857, 13, None, 16, None, 16, False, 0, Gameweek 16, True, 
1059863, 5, None, 13, None, 17, False, 0, Gameweek 17, False, 
1059877, 13, None, 7, None, 18, False, 0, Gameweek 18, True, 
1059888, 12, None, 13, None, 19, False, 0, Gameweek 19, False, 
1059897, 13, None, 8, None, 20, False, 0, Gameweek 20, True, 
1059907, 13, None, 9, None, 21, False, 0, Gameweek 21, True, 
1059921, 20, None, 13, None, 22, False, 0, Gameweek 22, False, 
1059927, 13, None, 6, None, 23, False, 0, Gameweek 23, True, 
1059934, 8, None, 13, None, 24, False, 0, Gameweek 24, False, 
1059948, 13, None, 14, None, 25, False, 0, Gameweek 25, True, 
1059952, 1, None, 13, None, 26, False, 0, Gameweek 26, False, 
1059965, 7, None, 13, None, 27, False, 0, Gameweek 27, False, 
1059977, 13, None, 5, None, 28, False, 0, Gameweek 28, True, 
1059990, 16, None, 13, None, 29, False, 0, Gameweek 29, False, 
1059997, 13, None, 15, None, 30, False, 0, Gameweek 30, True, 
1060007, 13, None, 2, None, 31, False, 0, Gameweek 31, True, 
1060012, 3, None, 13, None, 32, False, 0, Gameweek 32, False, 
1060027, 13, None, 19, None, 33, False, 0, Gameweek 33, True, 
1060038, 11, None, 13, None, 34, False, 0, Gameweek 34, False, 
1060050, 18, None, 13, None, 35, False, 0, Gameweek 35, False, 
1060059, 13, None, 17, None, 36, False, 0, Gameweek 36, True, 
1060064, 4, None, 13, None, 37, False, 0, Gameweek 37, False, 
1060079, 13, None, 10, None, 38, False, 0, Gameweek 38, True, 
