element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
211, 8, 19, 6, False, 2019-08-10T11:30:00Z, 0, 5, 1, 68, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 31, 33.4, 4.8, 42.0, 8.0, 95, 0, 126424, 0, 0, 
211, 16, 17, 1, True, 2019-08-17T16:30:00Z, 2, 2, 2, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0.0, 0.8, 48.0, 4.7, 95, 8297, 186375, 28060, 19763, 
211, 22, 3, 0, False, 2019-08-25T13:00:00Z, 1, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 95, -13895, 182336, 18468, 32363, 
211, 37, 4, 0, True, 2019-08-31T14:00:00Z, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 95, -66005, 116769, 2743, 68748, 
211, 46, 14, 4, False, 2019-09-14T16:30:00Z, 3, 2, 5, 33, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 22.8, 12.8, 49.0, 8.5, 95, -20271, 100103, 1160, 21431, 
211, 57, 18, 0, True, 2019-09-21T14:00:00Z, 8, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 95, -2827, 100259, 2062, 4889, 
211, 65, 8, 6, False, 2019-09-28T16:30:00Z, 1, 3, 7, 65, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 26, 30.4, 6.7, 59.0, 9.6, 95, -4420, 97812, 1914, 6334, 
211, 75, 20, 1, True, 2019-10-06T13:00:00Z, 0, 2, 8, 15, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0.0, 2.3, 10.0, 1.2, 95, 2471, 102835, 5231, 2760, 
211, 84, 7, 7, False, 2019-10-19T16:30:00Z, 0, 2, 9, 90, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 33, 45.8, 24.5, 128.0, 19.8, 95, -2147, 102174, 2539, 4686, 
211, 95, 2, 5, True, 2019-10-26T11:30:00Z, 3, 0, 10, 90, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5.4, 23.6, 48.0, 7.7, 95, 9503, 113826, 11859, 2356, 
211, 107, 16, 1, True, 2019-11-02T15:00:00Z, 2, 1, 11, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6.4, 12.8, 27.0, 4.6, 95, 11204, 127434, 17840, 6636, 
211, 114, 10, 0, False, 2019-11-10T16:30:00Z, 3, 1, 12, 19, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, 0.0, 0.7, 2.0, 0.2, 95, -13041, 113917, 1518, 14559, 
211, 127, 6, 1, True, 2019-11-23T17:30:00Z, 2, 1, 13, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.0, 1.3, 0.0, 0.0, 95, -8032, 107672, 1649, 9681, 
211, 136, 13, 2, False, 2019-11-30T12:30:00Z, 2, 2, 14, 83, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 9.2, 12.6, 100.0, 12.2, 95, 95637, 209419, 100816, 5179, 
211, 142, 5, 13, False, 2019-12-03T20:15:00Z, 1, 4, 15, 90, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 53, 66.8, 1.5, 64.0, 13.2, 96, 3410, 209848, 18155, 14745, 
211, 155, 12, 2, True, 2019-12-07T17:30:00Z, 1, 2, 16, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2.2, 3.9, 54.0, 6.0, 96, 52758, 266801, 64091, 11333, 
