element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
41, 7, 18, 0, False, 2019-08-10T14:00:00Z, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, 0, 9444, 0, 0, 
41, 13, 19, 0, True, 2019-08-17T14:00:00Z, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -956, 9812, 181, 1137, 
41, 23, 16, 0, True, 2019-08-24T14:00:00Z, 0, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -903, 9320, 205, 1108, 
41, 37, 11, 0, False, 2019-08-31T14:00:00Z, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, -622, 9067, 170, 792, 
41, 43, 5, 1, True, 2019-09-14T14:00:00Z, 1, 1, 5, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0.0, 0.0, 0.0, 0.0, 44, -374, 8960, 257, 631, 
41, 58, 13, 1, False, 2019-09-21T16:30:00Z, 0, 0, 6, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0.4, 0.8, 0.0, 0.1, 44, -160, 8942, 170, 330, 
41, 63, 6, 0, False, 2019-09-28T14:00:00Z, 2, 0, 7, 45, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 6, 15.0, 26.6, 6.0, 4.8, 44, -282, 8773, 143, 425, 
41, 72, 17, 1, True, 2019-10-05T11:30:00Z, 3, 0, 8, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0.6, 0.5, 0.0, 0.1, 44, -254, 8617, 90, 344, 
41, 81, 2, 0, False, 2019-10-19T14:00:00Z, 2, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, -148, 8577, 126, 274, 
41, 92, 8, 0, True, 2019-10-26T14:00:00Z, 3, 2, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, -160, 8466, 47, 207, 
41, 104, 14, 0, True, 2019-11-02T15:00:00Z, 2, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 43, -120, 8436, 148, 268, 
