element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
294, 2, 3, 2, False, 2019-08-10T14:00:00Z, 1, 1, 1, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0.4, 3.8, 3.0, 0.7, 45, 0, 8980, 0, 0, 
294, 18, 7, 5, True, 2019-08-18T13:00:00Z, 1, 0, 2, 90, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 17, 14.4, 8.3, 4.0, 2.7, 45, -111, 10352, 745, 856, 
294, 27, 9, 7, True, 2019-08-24T14:00:00Z, 1, 2, 3, 90, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 3, 27, 40.0, 22.8, 31.0, 9.4, 45, 1334, 12823, 2641, 1307, 
294, 33, 6, 1, False, 2019-08-31T14:00:00Z, 2, 2, 4, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 10, 6.2, 5.9, 0.0, 1.2, 45, 13619, 31039, 18207, 4588, 
294, 47, 16, 2, True, 2019-09-14T14:00:00Z, 0, 1, 5, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 7, 23.8, 26.7, 6.0, 5.7, 45, 8692, 41228, 12953, 4261, 
294, 55, 8, 5, False, 2019-09-21T14:00:00Z, 0, 2, 6, 90, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 17, 8.8, 1.0, 0.0, 1.0, 45, 1700, 42907, 5390, 3690, 
294, 68, 10, 2, True, 2019-09-28T11:30:00Z, 0, 1, 7, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 12, 11.8, 15.2, 2.0, 2.9, 45, 919, 44432, 4283, 3364, 
294, 79, 18, 6, False, 2019-10-05T14:00:00Z, 0, 0, 8, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 26, 11.4, 10.0, 4.0, 2.5, 45, 2754, 48447, 4993, 2239, 
294, 88, 1, 6, True, 2019-10-21T19:00:00Z, 1, 0, 9, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 24, 16.4, 5.8, 8.0, 3.0, 45, 4112, 52993, 6590, 2478, 
294, 100, 19, 1, False, 2019-10-26T14:00:00Z, 1, 1, 10, 90, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 5, 5.4, 1.2, 24.0, 3.1, 45, 8867, 62519, 10238, 1371, 
294, 108, 5, 6, True, 2019-11-02T15:00:00Z, 3, 0, 11, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 25, 14.8, 10.4, 4.0, 2.9, 45, 6513, 69646, 9410, 2897, 
294, 119, 17, 8, False, 2019-11-09T15:00:00Z, 1, 1, 12, 90, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 21, 47.8, 6.6, 19.0, 7.3, 45, 6592, 76628, 9747, 3155, 
294, 128, 12, 1, True, 2019-11-24T16:30:00Z, 3, 3, 13, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 9, 4.4, 4.3, 4.0, 1.3, 46, 80012, 164318, 86691, 6679, 
294, 140, 20, 4, False, 2019-12-01T14:00:00Z, 1, 1, 14, 90, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 15, 24.4, 20.0, 0.0, 4.4, 46, 49291, 213041, 58321, 9030, 
294, 145, 13, 0, True, 2019-12-05T19:30:00Z, None, None, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 46, 37295, 250409, 42640, 5345, 
