element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
199, 1, 14, 2, True, 2019-08-09T19:00:00Z, 4, 1, 1, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 11, 3.8, 5.2, 2.0, 1.1, 55, 0, 145844, 0, 0, 
199, 19, 16, 2, False, 2019-08-17T14:00:00Z, 1, 2, 2, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 12, 11.0, 2.4, 4.0, 1.7, 55, -3552, 165162, 16339, 19891, 
199, 24, 1, 3, True, 2019-08-24T16:30:00Z, 3, 1, 3, 68, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 13, 6.6, 8.3, 12.0, 2.7, 55, -18073, 151399, 7020, 25093, 
199, 32, 5, 3, False, 2019-08-31T16:30:00Z, 0, 3, 4, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 10, 11.0, 13.2, 9.0, 3.3, 55, -8919, 147049, 9815, 18734, 
199, 44, 13, 2, True, 2019-09-14T11:30:00Z, 3, 1, 5, 83, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 15, 11.6, 10.3, 13.0, 3.5, 55, -2929, 148323, 13112, 16041, 
199, 53, 6, 2, False, 2019-09-22T15:30:00Z, 1, 2, 6, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 1.6, 2.9, 7.0, 1.2, 55, -5350, 144920, 7413, 12763, 
199, 68, 15, 10, False, 2019-09-28T11:30:00Z, 0, 1, 7, 90, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 29, 33.6, 6.5, 17.0, 5.7, 54, -5153, 141360, 7994, 13147, 
199, 74, 9, 3, True, 2019-10-05T14:00:00Z, 2, 1, 8, 77, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5.0, 2.1, 17.0, 2.4, 54, 21453, 167380, 27485, 6032, 
199, 87, 12, 2, False, 2019-10-20T15:30:00Z, 1, 1, 9, 81, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 10, 14.6, 2.8, 7.0, 2.4, 54, 6580, 175466, 17549, 10969, 
199, 94, 17, 2, True, 2019-10-27T16:30:00Z, 2, 1, 10, 76, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 14, 6.8, 4.0, 19.0, 3.0, 54, 6569, 183421, 14488, 7919, 
199, 102, 2, 2, False, 2019-11-02T15:00:00Z, 1, 2, 11, 64, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 15, 11.6, 14.2, 13.0, 3.9, 54, 4255, 189922, 18065, 13810, 
