element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
151, 4, 7, 3, False, 2019-08-10T14:00:00Z, 0, 0, 1, 78, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4.8, 13.1, 37.0, 5.5, 80, 0, 791565, 0, 0, 
151, 15, 18, 3, True, 2019-08-17T14:00:00Z, 1, 0, 2, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8.4, 25.8, 10.0, 4.4, 80, -50890, 774275, 37883, 88773, 
151, 21, 2, 2, False, 2019-08-23T19:00:00Z, 2, 0, 3, 61, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6, 4.6, 23.0, 4.0, 3.2, 79, -163234, 615944, 17834, 181068, 
151, 35, 20, 5, True, 2019-09-01T13:00:00Z, 3, 2, 4, 90, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 21, 29.2, 71.6, 34.0, 13.5, 78, -170774, 449839, 8256, 179030, 
151, 42, 3, 2, False, 2019-09-15T13:00:00Z, 3, 1, 5, 70, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 11, 8.2, 14.7, 21.0, 4.4, 78, -64514, 392345, 10357, 74871, 
151, 55, 15, 2, True, 2019-09-21T14:00:00Z, 0, 2, 6, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 23, 19.2, 58.0, 17.0, 9.4, 77, -41239, 354273, 8017, 49256, 
151, 65, 11, 2, True, 2019-09-28T16:30:00Z, 1, 3, 7, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 16, 23.8, 67.3, 31.0, 12.2, 76, -73372, 281472, 2092, 75464, 
151, 73, 5, 1, False, 2019-10-05T14:00:00Z, 1, 0, 8, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5.0, 28.2, 13.0, 4.6, 76, -19919, 264190, 4569, 24488, 
151, 85, 19, 6, True, 2019-10-19T11:30:00Z, 2, 0, 9, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 37.6, 0.8, 14.0, 5.2, 75, -18894, 246820, 3311, 22205, 
151, 92, 4, 2, False, 2019-10-26T14:00:00Z, 3, 2, 10, 60, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 5, 3.8, 1.4, 7.0, 1.2, 75, -1073, 247346, 5813, 6886, 
151, 106, 17, 1, True, 2019-11-03T16:30:00Z, 1, 1, 11, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1.0, 1.2, 2.0, 0.4, 75, -15937, 231835, 2388, 18325, 
