element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
347, 6, 2, 2, True, 2019-08-10T16:30:00Z, 3, 1, 1, 63, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 14, 10.8, 29.6, 1.0, 4.1, 55, 0, 20098, 0, 0, 
347, 16, 11, 1, False, 2019-08-17T16:30:00Z, 2, 2, 2, 55, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 10, 9.4, 0.8, 0.0, 1.0, 55, -1072, 23991, 1735, 2807, 
347, 28, 13, 1, True, 2019-08-25T15:30:00Z, 0, 1, 3, 90, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 12, 27.8, 24.5, 2.0, 5.4, 55, -1652, 23567, 1360, 3012, 
347, 31, 1, 1, False, 2019-09-01T15:30:00Z, 2, 2, 4, 90, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 9, 27.2, 22.1, 0.0, 4.9, 55, -1731, 22818, 1109, 2840, 
347, 48, 7, 2, True, 2019-09-14T14:00:00Z, 4, 0, 5, 66, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 10, 4.2, 3.6, 16.0, 2.4, 55, -358, 23655, 1973, 2331, 
347, 56, 9, 2, False, 2019-09-21T11:30:00Z, 2, 1, 6, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 17, 16.0, 16.0, 0.0, 3.2, 54, -458, 23657, 1178, 1636, 
347, 69, 16, 2, True, 2019-09-28T14:00:00Z, 2, 1, 7, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 15, 13.2, 4.0, 8.0, 2.5, 54, -752, 23366, 1203, 1955, 
347, 72, 4, 1, False, 2019-10-05T11:30:00Z, 3, 0, 8, 45, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 9.6, 3.5, 0.0, 1.3, 54, -842, 22790, 750, 1592, 
347, 89, 18, 2, True, 2019-10-19T14:00:00Z, 1, 1, 9, 70, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 13, 15.0, 15.2, 0.0, 3.0, 54, -1117, 21944, 506, 1623, 
347, 94, 10, 2, False, 2019-10-27T16:30:00Z, 2, 1, 10, 62, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6, 3.8, 0.8, 0.0, 0.5, 53, -606, 21480, 279, 885, 
347, 106, 8, 0, False, 2019-11-03T16:30:00Z, 1, 1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 53, -615, 21051, 497, 1112, 
