element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
16, 10, 13, 2, False, 2019-08-11T13:00:00Z, 0, 1, 1, 83, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.2, 19.4, 22.0, 4.2, 70, 0, 126595, 0, 0, 
16, 11, 5, 0, True, 2019-08-17T11:30:00Z, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 70, 996, 145143, 18655, 17659, 
16, 24, 10, 1, False, 2019-08-24T16:30:00Z, 3, 1, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1.4, 1.5, 0.0, 0.3, 70, -34053, 112066, 1668, 35721, 
16, 31, 17, 1, True, 2019-09-01T15:30:00Z, 2, 2, 4, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.8, 13.0, 24.0, 4.1, 69, -14656, 99835, 1348, 16004, 
16, 49, 18, 0, False, 2019-09-15T15:30:00Z, 2, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 69, -22502, 77646, 701, 23203, 
16, 51, 2, 0, True, 2019-09-22T15:30:00Z, 3, 2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 68, -8414, 69958, 47, 8461, 
16, 67, 12, 0, False, 2019-09-30T19:00:00Z, 1, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 68, -4807, 65367, 43, 4850, 
16, 71, 3, 0, True, 2019-10-06T13:00:00Z, 1, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 68, -2329, 63127, 41, 2370, 
16, 88, 15, 0, False, 2019-10-21T19:00:00Z, 1, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 68, -1716, 61484, 31, 1747, 
16, 91, 7, 0, True, 2019-10-27T16:30:00Z, 2, 2, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 68, -709, 60855, 28, 737, 
16, 101, 20, 0, True, 2019-11-02T15:00:00Z, 1, 1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 68, -882, 59996, 18, 900, 
