element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
525, 7, 4, 0, True, 2019-08-10T14:00:00Z, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 65, 0, 22066, 0, 0, 
525, 15, 8, 0, False, 2019-08-17T14:00:00Z, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 65, -5891, 18827, 1575, 7466, 
525, 29, 19, 1, True, 2019-08-24T14:00:00Z, 1, 3, 3, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1.2, 1.2, 8.0, 1.0, 65, -6869, 12099, 272, 7141, 
525, 38, 13, 0, False, 2019-08-31T14:00:00Z, 1, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 65, -921, 11860, 1453, 2374, 
525, 49, 1, 1, True, 2019-09-15T15:30:00Z, 2, 2, 5, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2.0, 15.8, 18.0, 3.6, 64, -1774, 10382, 570, 2344, 
525, 57, 11, 1, False, 2019-09-21T14:00:00Z, 8, 0, 6, 31, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0.8, 0.7, 0.0, 0.2, 64, -454, 10224, 658, 1112, 
525, 70, 20, 2, False, 2019-09-28T14:00:00Z, 2, 0, 7, 70, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 13.3, 10.0, 2.2, 63, -1082, 9362, 313, 1395, 
525, 79, 15, 1, True, 2019-10-05T14:00:00Z, 0, 0, 8, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0.0, 0.5, 2.0, 0.3, 63, -351, 9208, 455, 806, 
525, 89, 17, 0, False, 2019-10-19T14:00:00Z, 1, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 63, -628, 8720, 187, 815, 
525, 99, 3, 0, True, 2019-10-26T14:00:00Z, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 62, -366, 8453, 110, 476, 
525, 109, 6, 0, True, 2019-11-02T17:30:00Z, 1, 2, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 62, -818, 7648, 36, 854, 
