element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
102, 3, 16, 3, True, 2019-08-10T14:00:00Z, 3, 0, 1, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 10, 8.2, 2.1, 0.0, 1.0, 50, 0, 16050, 0, 0, 
102, 11, 1, 2, False, 2019-08-17T11:30:00Z, 2, 1, 2, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 9, 10.4, 1.8, 28.0, 4.0, 50, 709, 19860, 2656, 1947, 
102, 30, 20, 2, False, 2019-08-25T15:30:00Z, 1, 1, 3, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 8, 4.4, 1.8, 2.0, 0.8, 50, -623, 19928, 1736, 2359, 
102, 32, 10, 2, True, 2019-08-31T16:30:00Z, 0, 3, 4, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 15, 13.2, 21.4, 0.0, 3.5, 50, -586, 19839, 1696, 2282, 
102, 43, 4, 2, False, 2019-09-14T14:00:00Z, 1, 1, 5, 77, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 10, 7.6, 1.3, 4.0, 1.3, 50, -179, 20200, 1761, 1940, 
102, 52, 14, 3, True, 2019-09-21T14:00:00Z, 2, 0, 6, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 18, 19.6, 23.1, 21.0, 6.4, 50, -509, 19972, 831, 1340, 
102, 61, 2, 1, False, 2019-09-28T14:00:00Z, 2, 2, 7, 45, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 2.8, 2.0, 51.0, 5.6, 50, -857, 19274, 521, 1378, 
102, 73, 8, 0, True, 2019-10-05T14:00:00Z, 1, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -2878, 16337, 51, 2929, 
102, 86, 9, 0, False, 2019-10-19T14:00:00Z, 2, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -1855, 14564, 25, 1880, 
102, 93, 6, 2, True, 2019-10-26T16:30:00Z, 2, 4, 10, 90, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 19, 10.4, 16.0, 0.0, 2.6, 50, -872, 13757, 13, 885, 
102, 108, 15, 2, False, 2019-11-02T15:00:00Z, 3, 0, 11, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 9, 9.0, 4.1, 0.0, 1.3, 50, -361, 13487, 201, 562, 
