element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
308, 3, 5, 1, False, 2019-08-10T14:00:00Z, 3, 0, 1, 72, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 10, 10.6, 0.1, 2.0, 1.3, 45, 0, 7817, 0, 0, 
308, 19, 10, 0, True, 2019-08-17T14:00:00Z, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -672, 8284, 154, 826, 
308, 23, 4, 0, False, 2019-08-24T14:00:00Z, 0, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -755, 7898, 111, 866, 
308, 39, 12, 0, True, 2019-08-31T11:30:00Z, 1, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -587, 7644, 112, 699, 
308, 47, 15, 0, False, 2019-09-14T14:00:00Z, 0, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, -289, 7668, 366, 655, 
308, 59, 3, 0, True, 2019-09-20T19:00:00Z, 1, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, -310, 7504, 127, 437, 
308, 69, 17, 0, False, 2019-09-28T14:00:00Z, 2, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, -399, 7210, 105, 504, 
308, 78, 6, 0, True, 2019-10-06T13:00:00Z, 1, 4, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, -288, 7003, 69, 357, 
308, 90, 20, 0, False, 2019-10-19T14:00:00Z, 1, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 43, -202, 6880, 66, 268, 
308, 98, 9, -1, True, 2019-10-25T19:00:00Z, 0, 9, 10, 45, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 7, 11.6, 0.4, 0.0, 1.2, 43, -109, 6836, 80, 189, 
308, 107, 11, 1, False, 2019-11-02T15:00:00Z, 2, 1, 11, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 14, 41.6, 0.3, 2.0, 4.4, 43, -230, 6678, 87, 317, 
308, 118, 8, 1, True, 2019-11-09T15:00:00Z, 1, 2, 12, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 7, 22.2, 0.2, 0.0, 2.2, 43, -60, 6687, 118, 178, 
308, 121, 1, 1, False, 2019-11-23T15:00:00Z, 2, 2, 13, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 9, 20.0, 0.1, 0.0, 2.0, 43, -64, 6684, 172, 236, 
308, 138, 18, 2, True, 2019-11-30T17:30:00Z, 2, 1, 14, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 10, 15.6, 1.3, 0.0, 1.7, 43, 500, 7284, 704, 204, 
308, 150, 14, 2, True, 2019-12-04T19:30:00Z, 2, 1, 15, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 11, 13.8, 0.3, 4.0, 1.8, 43, 176, 7489, 348, 172, 
308, 156, 13, 4, False, 2019-12-08T14:00:00Z, 2, 1, 16, 90, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 19, 37.0, 10.0, 0.0, 4.7, 43, 42, 7561, 302, 260, 
