element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
171, 5, 20, 3, True, 2019-08-11T13:00:00Z, 0, 0, 1, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5.6, 49.2, 13.0, 6.8, 70, 0, 568427, 0, 0, 
171, 14, 6, 5, False, 2019-08-18T15:30:00Z, 1, 1, 2, 90, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 11, 20.8, 52.5, 16.0, 8.9, 70, -29125, 576149, 28286, 57411, 
171, 27, 15, 6, False, 2019-08-24T14:00:00Z, 1, 2, 3, 90, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 24, 24.2, 37.0, 46.0, 10.7, 70, 56267, 655763, 110877, 54610, 
171, 36, 3, 2, True, 2019-08-31T14:00:00Z, 3, 1, 4, 85, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 5, 4.4, 19.7, 29.0, 5.3, 71, 131684, 815284, 183845, 52161, 
171, 45, 12, 1, False, 2019-09-14T14:00:00Z, 1, 0, 5, 90, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 13.0, 9.3, 21.0, 4.3, 71, -32702, 783912, 57591, 90293, 
171, 56, 17, 10, True, 2019-09-21T11:30:00Z, 2, 1, 6, 90, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 33, 44.2, 30.9, 44.0, 11.9, 71, -39184, 751930, 35319, 74503, 
171, 66, 13, 0, True, 2019-09-29T15:30:00Z, 5, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 71, -33997, 722588, 64913, 98910, 
171, 74, 10, 7, False, 2019-10-05T14:00:00Z, 2, 1, 8, 85, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 26, 38.6, 14.3, 21.0, 7.4, 71, -15750, 710123, 40599, 56349, 
171, 86, 5, 2, True, 2019-10-19T14:00:00Z, 2, 1, 9, 72, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 11, 9.2, 32.6, 35.0, 7.7, 72, 222638, 955498, 254900, 32262, 
171, 98, 16, 8, False, 2019-10-25T19:00:00Z, 0, 9, 10, 90, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 34, 52.4, 20.4, 25.0, 9.8, 72, 54653, 1007844, 83460, 28807, 
171, 105, 7, 9, False, 2019-11-03T14:00:00Z, 0, 2, 11, 90, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 3, 40, 29.8, 110.8, 10.0, 15.1, 73, 55433, 1070160, 98691, 43258, 
171, 113, 1, 9, True, 2019-11-09T17:30:00Z, 2, 0, 12, 90, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 28, 47.0, 48.3, 34.0, 12.9, 74, 219383, 1307914, 239282, 19899, 
171, 124, 4, 3, False, 2019-11-23T15:00:00Z, 0, 2, 13, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 18, 24.6, 51.0, 35.0, 11.1, 75, 369656, 1695553, 394476, 24820, 
171, 133, 8, 2, True, 2019-12-01T16:30:00Z, 2, 1, 14, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 13, 13.6, 24.5, 27.0, 6.5, 76, 63933, 1749586, 124172, 60239, 
171, 143, 18, 10, True, 2019-12-04T19:30:00Z, 2, 0, 15, 90, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 33, 48.8, 50.5, 17.0, 11.6, 76, 11287, 1763366, 65534, 54247, 
171, 151, 2, 9, False, 2019-12-08T14:00:00Z, 1, 4, 16, 90, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 1, 38, 31.8, 76.6, 47.0, 15.5, 77, 90659, 1862879, 126209, 35550, 
