code, team_home, team_home_score, team_away, team_away_score, event, finished, minutes, event_name, is_home
1059775, 10, None, 9, None, 8, False, 0, Gameweek 8, True, 
1059788, 12, None, 10, None, 9, False, 0, Gameweek 9, False, 
1059795, 10, None, 17, None, 10, False, 0, Gameweek 10, True, 
1059804, 2, None, 10, None, 11, False, 0, Gameweek 11, False, 
1059815, 10, None, 11, None, 12, False, 0, Gameweek 12, True, 
1059826, 7, None, 10, None, 13, False, 0, Gameweek 13, False, 
1059835, 10, None, 4, None, 14, False, 0, Gameweek 14, True, 
1059850, 10, None, 8, None, 15, False, 0, Gameweek 15, True, 
1059852, 3, None, 10, None, 16, False, 0, Gameweek 16, False, 
1059867, 10, None, 18, None, 17, False, 0, Gameweek 17, True, 
1059881, 19, None, 10, None, 18, False, 0, Gameweek 18, False, 
1059887, 9, None, 10, None, 19, False, 0, Gameweek 19, False, 
1059895, 10, None, 20, None, 20, False, 0, Gameweek 20, True, 
1059905, 10, None, 15, None, 21, False, 0, Gameweek 21, True, 
1059920, 17, None, 10, None, 22, False, 0, Gameweek 22, False, 
1059925, 10, None, 12, None, 23, False, 0, Gameweek 23, True, 
1059938, 20, None, 10, None, 24, False, 0, Gameweek 24, False, 
1059946, 10, None, 16, None, 25, False, 0, Gameweek 25, True, 
1059958, 14, None, 10, None, 26, False, 0, Gameweek 26, False, 
1059967, 10, None, 19, None, 27, False, 0, Gameweek 27, True, 
1059980, 18, None, 10, None, 28, False, 0, Gameweek 28, False, 
1059987, 10, None, 3, None, 29, False, 0, Gameweek 29, True, 
1059995, 8, None, 10, None, 30, False, 0, Gameweek 30, False, 
1060005, 10, None, 7, None, 31, False, 0, Gameweek 31, True, 
1060018, 11, None, 10, None, 32, False, 0, Gameweek 32, False, 
1060025, 10, None, 2, None, 33, False, 0, Gameweek 33, True, 
1060035, 4, None, 10, None, 34, False, 0, Gameweek 34, False, 
1060045, 10, None, 5, None, 35, False, 0, Gameweek 35, True, 
1060052, 1, None, 10, None, 36, False, 0, Gameweek 36, False, 
1060065, 10, None, 6, None, 37, False, 0, Gameweek 37, True, 
1060079, 13, None, 10, None, 38, False, 0, Gameweek 38, False, 
