element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
84, 3, 16, 6, True, 2019-08-10T14:00:00Z, 3, 0, 1, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 23, 18.0, 0.2, 36.0, 5.4, 50, 0, 96554, 0, 0, 
84, 11, 1, 1, False, 2019-08-17T11:30:00Z, 2, 1, 2, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 7, 11.6, 0.1, 26.0, 3.8, 50, -2362, 106328, 4485, 6847, 
84, 30, 20, 1, False, 2019-08-25T15:30:00Z, 1, 1, 3, 90, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 15, 33.6, 0.5, 21.0, 5.5, 50, -3526, 105756, 4665, 8191, 
84, 32, 10, 1, True, 2019-08-31T16:30:00Z, 0, 3, 4, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 9, 19.6, 0.6, 8.0, 2.8, 50, -4474, 102910, 3856, 8330, 
84, 43, 4, 2, False, 2019-09-14T14:00:00Z, 1, 1, 5, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 10, 12.4, 10.3, 2.0, 2.5, 50, 4987, 110483, 13310, 8323, 
84, 52, 14, 6, True, 2019-09-21T14:00:00Z, 2, 0, 6, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 23, 15.4, 0.0, 0.0, 1.5, 50, -1853, 109083, 3319, 5172, 
84, 61, 2, 0, False, 2019-09-28T14:00:00Z, 2, 2, 7, 90, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 10, 27.0, 0.3, 7.0, 3.4, 50, 992, 111013, 5031, 4039, 
84, 73, 8, 9, True, 2019-10-05T14:00:00Z, 1, 0, 8, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 30, 26.0, 10.4, 6.0, 4.2, 50, -3989, 107175, 1871, 5860, 
84, 86, 9, 1, False, 2019-10-19T14:00:00Z, 2, 1, 9, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 16, 27.8, 10.3, 0.0, 3.8, 50, 3875, 112853, 7649, 3774, 
84, 93, 6, 0, True, 2019-10-26T16:30:00Z, 2, 4, 10, 90, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 25, 25.8, 10.8, 4.0, 4.1, 50, -1417, 111454, 1975, 3392, 
84, 108, 15, 0, False, 2019-11-02T15:00:00Z, 3, 0, 11, 90, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 11, 20.4, 0.3, 0.0, 2.1, 50, -1922, 110004, 3462, 5384, 
