element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
124, 4, 8, 0, True, 2019-08-10T14:00:00Z, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, 0, 769, 0, 0, 
124, 18, 15, 0, False, 2019-08-18T13:00:00Z, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -137, 698, 18, 155, 
124, 25, 12, 0, False, 2019-08-24T14:00:00Z, 1, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -72, 644, 15, 87, 
124, 34, 2, 0, True, 2019-08-31T14:00:00Z, 1, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -55, 601, 19, 74, 
124, 48, 17, 0, False, 2019-09-14T14:00:00Z, 4, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -29, 594, 43, 72, 
124, 54, 20, 0, True, 2019-09-22T13:00:00Z, 1, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, 103, 890, 157, 54, 
124, 64, 14, 0, True, 2019-09-28T14:00:00Z, 2, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, 121, 1248, 240, 119, 
124, 80, 19, 0, False, 2019-10-05T16:30:00Z, 1, 2, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, 38, 1431, 185, 147, 
124, 84, 11, 1, True, 2019-10-19T16:30:00Z, 0, 2, 9, 82, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 9, 16.6, 0.1, 0.0, 1.7, 50, 54, 1644, 198, 144, 
124, 91, 1, 1, False, 2019-10-27T16:30:00Z, 2, 2, 10, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 11, 9.0, 0.2, 4.0, 1.3, 50, 48, 1800, 144, 96, 
124, 105, 9, 0, True, 2019-11-03T14:00:00Z, 0, 2, 11, 90, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 6, 7.6, 0.1, 0.0, 0.8, 50, 165, 2122, 311, 146, 
