element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
166, 5, 20, 2, True, 2019-08-11T13:00:00Z, 0, 0, 1, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6.8, 4.9, 4.0, 1.6, 90, 0, 586801, 0, 0, 
166, 14, 6, 2, False, 2019-08-18T15:30:00Z, 1, 1, 2, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, -3, 0.0, 2.3, 10.0, 0.9, 90, -82257, 551733, 18334, 100591, 
166, 27, 15, 8, False, 2019-08-24T14:00:00Z, 1, 2, 3, 90, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 25, 33.6, 1.8, 27.0, 6.2, 89, -78612, 488259, 32101, 110713, 
166, 36, 3, 16, True, 2019-08-31T14:00:00Z, 3, 1, 4, 90, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 3, 63, 87.6, 13.6, 45.0, 14.6, 89, -7210, 499553, 49194, 56404, 
166, 45, 12, 2, False, 2019-09-14T14:00:00Z, 1, 0, 5, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 5, 1.2, 11.3, 4.0, 1.7, 89, 83507, 613077, 136063, 52556, 
166, 56, 17, 2, True, 2019-09-21T11:30:00Z, 2, 1, 6, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4.2, 11.2, 45.0, 6.0, 89, -54500, 557628, 23463, 77963, 
166, 66, 13, 12, True, 2019-09-29T15:30:00Z, 5, 0, 7, 90, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 3, 47, 64.4, 12.8, 64.0, 14.1, 89, 24837, 597729, 78689, 53852, 
166, 74, 10, 2, False, 2019-10-05T14:00:00Z, 2, 1, 8, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 6.2, 1.8, 10.0, 1.8, 89, 33048, 634677, 74485, 41437, 
166, 86, 5, 8, True, 2019-10-19T14:00:00Z, 2, 1, 9, 90, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 30, 34.2, 16.5, 21.0, 7.2, 90, 155188, 807733, 186366, 31178, 
166, 98, 16, 20, False, 2019-10-25T19:00:00Z, 0, 9, 10, 90, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 3, 89, 105.4, 3.0, 93.0, 20.1, 91, 263104, 1080468, 275941, 12837, 
166, 105, 7, 6, False, 2019-11-03T14:00:00Z, 0, 2, 11, 90, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 25, 37.8, 0.9, 40.0, 7.9, 93, 664797, 1773320, 677105, 12308, 
