element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
100, 3, 16, 0, True, 2019-08-10T14:00:00Z, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 55, 0, 5770, 0, 0, 
100, 11, 1, 0, False, 2019-08-17T11:30:00Z, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 55, -635, 6144, 195, 830, 
100, 30, 20, 1, False, 2019-08-25T15:30:00Z, 1, 1, 3, 4, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0.0, 0.0, 0.0, 0.0, 54, -763, 5677, 89, 852, 
100, 32, 10, 0, True, 2019-08-31T16:30:00Z, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 54, -452, 5391, 95, 547, 
100, 43, 4, 7, False, 2019-09-14T14:00:00Z, 1, 1, 5, 31, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22, 36.4, 0.7, 7.0, 4.4, 54, -322, 5253, 176, 498, 
100, 52, 14, 3, True, 2019-09-21T14:00:00Z, 2, 0, 6, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7.2, 2.8, 21.0, 3.1, 54, 481, 5978, 722, 241, 
100, 61, 2, 2, False, 2019-09-28T14:00:00Z, 2, 2, 7, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 6, 1.2, 2.8, 36.0, 4.0, 54, -671, 5277, 96, 767, 
100, 73, 8, 10, True, 2019-10-05T14:00:00Z, 1, 0, 8, 90, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 3, 30, 38.6, 11.5, 35.0, 8.5, 54, 448, 5940, 711, 263, 
100, 86, 9, 1, False, 2019-10-19T14:00:00Z, 2, 1, 9, 90, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 6, 6.8, 2.4, 36.0, 4.5, 54, 3227, 9839, 4415, 1188, 
100, 93, 6, 1, True, 2019-10-26T16:30:00Z, 2, 4, 10, 83, 0, 0, 0, 4, 0, 0, 0, 1, 0, 0, 0, 3, 2.2, 12.4, 4.0, 1.9, 54, 241, 9963, 1058, 817, 
100, 108, 15, 2, False, 2019-11-02T15:00:00Z, 3, 0, 11, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 6, 3.4, 3.1, 6.0, 1.3, 54, -230, 9845, 887, 1117, 
