element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
82, 2, 15, 2, True, 2019-08-10T14:00:00Z, 1, 1, 1, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 13, 12.0, 3.3, 9.0, 2.4, 50, 0, 12723, 0, 0, 
82, 12, 2, 2, False, 2019-08-17T14:00:00Z, 1, 2, 2, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 11, 10.0, 2.3, 0.0, 1.2, 50, -142, 15061, 1942, 2084, 
82, 22, 11, 1, True, 2019-08-25T13:00:00Z, 1, 3, 3, 90, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 7, 7.2, 1.7, 0.0, 0.9, 50, -1882, 13556, 798, 2680, 
82, 36, 9, 1, False, 2019-08-31T14:00:00Z, 3, 1, 4, 90, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 11, 10.4, 1.8, 1.0, 1.3, 50, -921, 13245, 1133, 2054, 
82, 42, 8, 1, True, 2019-09-15T13:00:00Z, 3, 1, 5, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7.2, 0.0, 0.0, 0.7, 49, -971, 12670, 791, 1762, 
82, 59, 16, 1, False, 2019-09-20T19:00:00Z, 1, 3, 6, 90, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 7, 10.0, 0.8, 0.0, 1.1, 49, -821, 11978, 312, 1133, 
82, 62, 19, 1, True, 2019-09-28T14:00:00Z, 2, 2, 7, 90, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 17, 17.4, 12.2, 0.0, 3.0, 49, -713, 11389, 330, 1043, 
82, 71, 1, 2, False, 2019-10-06T13:00:00Z, 1, 0, 8, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 15, 13.2, 3.0, 2.0, 1.8, 48, -634, 10831, 167, 801, 
82, 82, 14, 0, True, 2019-10-19T14:00:00Z, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 48, -172, 10773, 407, 579, 
82, 99, 18, 3, False, 2019-10-26T14:00:00Z, 0, 0, 10, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 17, 17.8, 22.2, 9.0, 4.9, 48, -789, 9974, 39, 828, 
82, 103, 12, 2, True, 2019-11-02T12:30:00Z, 1, 0, 11, 90, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 13, 23.4, 1.4, 9.0, 3.4, 48, -81, 10033, 414, 495, 
82, 116, 13, 0, False, 2019-11-09T15:00:00Z, 2, 1, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 48, -851, 9128, 31, 882, 
82, 123, 20, 1, True, 2019-11-23T15:00:00Z, 1, 2, 13, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5.8, 1.9, 0.0, 0.8, 48, -49, 9246, 315, 364, 
82, 139, 17, 1, False, 2019-11-30T15:00:00Z, 3, 2, 14, 90, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 10, 12.4, 12.5, 5.0, 3.0, 48, -144, 9107, 155, 299, 
82, 148, 7, 1, False, 2019-12-03T19:30:00Z, 1, 0, 15, 90, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 6, 8.4, 7.3, 10.0, 2.6, 48, -65, 9085, 114, 179, 
