element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
301, 2, 3, 1, False, 2019-08-10T14:00:00Z, 1, 1, 1, 90, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 9, 8.2, 28.5, 0.0, 3.7, 50, 0, 9891, 0, 0, 
301, 18, 7, 1, True, 2019-08-18T13:00:00Z, 1, 0, 2, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1.8, 15.5, 1.0, 1.8, 50, -759, 9918, 305, 1064, 
301, 27, 9, 0, True, 2019-08-24T14:00:00Z, 1, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -2230, 7726, 81, 2311, 
301, 33, 6, 0, False, 2019-08-31T14:00:00Z, 2, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 49, -1705, 6067, 31, 1736, 
301, 47, 16, 1, True, 2019-09-14T14:00:00Z, 0, 1, 5, 90, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 13, 14.2, 39.2, 63.0, 11.6, 49, -1013, 5094, 20, 1033, 
301, 55, 8, 3, False, 2019-09-21T14:00:00Z, 0, 2, 6, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 15, 28.0, 16.6, 2.0, 4.7, 48, -257, 4946, 113, 370, 
301, 68, 10, 2, True, 2019-09-28T11:30:00Z, 0, 1, 7, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 18, 14.8, 33.0, 24.0, 7.2, 48, -109, 4936, 215, 324, 
301, 79, 18, 3, False, 2019-10-05T14:00:00Z, 0, 0, 8, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 16, 14.0, 11.2, 17.0, 4.2, 48, 807, 5924, 1123, 316, 
301, 88, 1, 2, True, 2019-10-21T19:00:00Z, 1, 0, 9, 90, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 9, 15.0, 46.8, 10.0, 7.2, 48, -259, 5665, 327, 586, 
301, 100, 19, 2, False, 2019-10-26T14:00:00Z, 1, 1, 10, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 17, 12.0, 43.3, 2.0, 5.7, 48, 414, 6158, 725, 311, 
301, 108, 5, 9, True, 2019-11-02T15:00:00Z, 3, 0, 11, 90, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 32, 44.4, 16.8, 19.0, 8.0, 48, 468, 6727, 902, 434, 
301, 119, 17, 2, False, 2019-11-09T15:00:00Z, 1, 1, 12, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 15, 13.2, 25.7, 7.0, 4.6, 48, 9585, 17377, 10533, 948, 
301, 128, 12, 13, True, 2019-11-24T16:30:00Z, 3, 3, 13, 90, 1, 1, 0, 3, 0, 0, 0, 0, 0, 0, 3, 43, 60.4, 33.5, 37.0, 13.1, 48, 8936, 26796, 11506, 2570, 
301, 140, 20, 1, False, 2019-12-01T14:00:00Z, 1, 1, 14, 90, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 14, 18.0, 35.0, 17.0, 7.0, 48, 57001, 88954, 61414, 4413, 
301, 145, 13, 0, True, 2019-12-05T19:30:00Z, None, None, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 48, 19622, 107071, 27135, 7513, 
