code, team_home, team_home_score, team_away, team_away_score, event, finished, minutes, event_name, is_home
1059774, 5, None, 8, None, 8, False, 0, Gameweek 8, False, 
1059786, 8, None, 19, None, 9, False, 0, Gameweek 9, True, 
1059793, 4, None, 8, None, 10, False, 0, Gameweek 10, False, 
1059807, 8, None, 17, None, 11, False, 0, Gameweek 11, True, 
1059819, 16, None, 8, None, 12, False, 0, Gameweek 12, False, 
1059827, 8, None, 14, None, 13, False, 0, Gameweek 13, True, 
1059834, 9, None, 8, None, 14, False, 0, Gameweek 14, False, 
1059850, 10, None, 8, None, 15, False, 0, Gameweek 15, False, 
1059855, 8, None, 6, None, 16, False, 0, Gameweek 16, True, 
1059868, 12, None, 8, None, 17, False, 0, Gameweek 17, False, 
1059875, 8, None, 1, None, 18, False, 0, Gameweek 18, True, 
1059886, 8, None, 5, None, 19, False, 0, Gameweek 19, True, 
1059897, 13, None, 8, None, 20, False, 0, Gameweek 20, False, 
1059906, 11, None, 8, None, 21, False, 0, Gameweek 21, False, 
1059916, 8, None, 4, None, 22, False, 0, Gameweek 22, True, 
1059931, 19, None, 8, None, 23, False, 0, Gameweek 23, False, 
1059934, 8, None, 13, None, 24, False, 0, Gameweek 24, True, 
1059950, 18, None, 8, None, 25, False, 0, Gameweek 25, False, 
1059956, 8, None, 7, None, 26, False, 0, Gameweek 26, True, 
1059962, 1, None, 8, None, 27, False, 0, Gameweek 27, False, 
1059975, 8, None, 12, None, 28, False, 0, Gameweek 28, True, 
1059984, 6, None, 8, None, 29, False, 0, Gameweek 29, False, 
1059995, 8, None, 10, None, 30, False, 0, Gameweek 30, True, 
1060008, 14, None, 8, None, 31, False, 0, Gameweek 31, False, 
1060017, 8, None, 9, None, 32, False, 0, Gameweek 32, True, 
1060030, 17, None, 8, None, 33, False, 0, Gameweek 33, False, 
1060037, 8, None, 16, None, 34, False, 0, Gameweek 34, True, 
1060051, 20, None, 8, None, 35, False, 0, Gameweek 35, False, 
1060056, 8, None, 2, None, 36, False, 0, Gameweek 36, True, 
1060068, 15, None, 8, None, 37, False, 0, Gameweek 37, False, 
1060076, 8, None, 3, None, 38, False, 0, Gameweek 38, True, 
