element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
402, 5, 9, 5, False, 2019-08-11T13:00:00Z, 0, 0, 1, 90, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 18, 18.0, 12.3, 0.0, 3.0, 55, 0, 70548, 0, 0, 
402, 20, 12, 2, True, 2019-08-19T19:00:00Z, 1, 1, 2, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 11, 13.6, 2.8, 23.0, 3.9, 55, -3909, 72395, 1801, 5710, 
402, 30, 5, 2, True, 2019-08-25T15:30:00Z, 1, 1, 3, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 10, 8.0, 5.3, 9.0, 2.2, 55, -924, 74046, 4913, 5837, 
402, 35, 8, 0, False, 2019-09-01T13:00:00Z, 3, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 55, -2941, 72510, 3347, 6288, 
402, 50, 6, 0, True, 2019-09-14T14:00:00Z, 2, 5, 5, 90, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 8, 11.8, 4.3, 7.0, 2.3, 55, -5242, 68433, 2525, 7767, 
402, 54, 7, 2, False, 2019-09-22T13:00:00Z, 1, 1, 6, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 15, 37.0, 16.7, 12.0, 6.6, 54, -5355, 63631, 734, 6089, 
402, 70, 18, 6, True, 2019-09-28T14:00:00Z, 2, 0, 7, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 25, 12.4, 3.3, 7.0, 2.3, 54, -3363, 60781, 1341, 4704, 
402, 75, 11, 1, False, 2019-10-06T13:00:00Z, 0, 2, 8, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0.2, 0.0, 0.0, 0.0, 54, -2258, 58676, 841, 3099, 
402, 90, 16, 2, True, 2019-10-19T14:00:00Z, 1, 1, 9, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 15, 13.2, 2.9, 2.0, 1.8, 54, 59, 59496, 2392, 2333, 
402, 96, 13, 8, False, 2019-10-27T14:00:00Z, 1, 1, 10, 83, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 16, 42.0, 22.9, 25.0, 9.0, 54, -369, 59346, 1292, 1661, 
402, 101, 1, 2, False, 2019-11-02T15:00:00Z, 1, 1, 11, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 16, 26.4, 35.9, 37.0, 9.9, 54, 3908, 64182, 6190, 2282, 
402, 120, 2, 1, True, 2019-11-10T14:00:00Z, 2, 1, 12, 90, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 4.0, 2.1, 4.0, 1.0, 54, 6511, 73259, 9394, 2883, 
402, 123, 3, 2, False, 2019-11-23T15:00:00Z, 1, 2, 13, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 11, 9.4, 24.4, 5.0, 3.9, 54, -703, 70973, 3850, 4553, 
402, 140, 15, 2, True, 2019-12-01T14:00:00Z, 1, 1, 14, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 16, 8.8, 13.3, 12.0, 3.4, 54, 813, 72224, 3909, 3096, 
402, 146, 19, 6, True, 2019-12-04T19:30:00Z, 2, 0, 15, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 23, 21.6, 19.7, 25.0, 6.6, 54, -804, 71483, 1525, 2329, 
