element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
198, 1, 14, 2, True, 2019-08-09T19:00:00Z, 4, 1, 1, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 12, 12.2, 6.2, 41.0, 5.9, 55, 0, 39328, 0, 0, 
198, 19, 16, 1, False, 2019-08-17T14:00:00Z, 1, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0.0, 3.3, 0.0, 0.3, 55, 4952, 61833, 11571, 6619, 
198, 24, 1, 2, True, 2019-08-24T16:30:00Z, 3, 1, 3, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 15, 15.0, 6.7, 20.0, 4.2, 55, -6483, 57492, 3478, 9961, 
198, 32, 5, 3, False, 2019-08-31T16:30:00Z, 0, 3, 4, 70, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 15, 6.8, 16.8, 4.0, 2.8, 55, -2545, 57422, 4088, 6633, 
198, 44, 13, 0, True, 2019-09-14T11:30:00Z, 3, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 55, -1308, 58292, 4342, 5650, 
198, 53, 6, 2, False, 2019-09-22T15:30:00Z, 1, 2, 6, 83, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 8, 14.2, 2.6, 2.0, 1.9, 55, -4722, 54305, 1434, 6156, 
198, 68, 15, 3, False, 2019-09-28T11:30:00Z, 0, 1, 7, 63, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 15, 9.0, 8.7, 2.0, 2.0, 54, -1693, 53704, 2617, 4310, 
198, 74, 9, 1, True, 2019-10-05T14:00:00Z, 2, 1, 8, 12, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 5, 2.2, 1.6, 0.0, 0.4, 54, -1401, 52876, 1611, 3012, 
198, 87, 12, 2, False, 2019-10-20T15:30:00Z, 1, 1, 9, 70, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 8.8, 7.6, 0.0, 1.6, 54, -2046, 51341, 1235, 3281, 
198, 94, 17, 9, True, 2019-10-27T16:30:00Z, 2, 1, 10, 90, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 33, 46.2, 17.7, 19.0, 8.3, 54, -540, 51218, 1064, 1604, 
198, 102, 2, 2, False, 2019-11-02T15:00:00Z, 1, 2, 11, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 21, 23.2, 32.5, 0.0, 5.6, 54, 4285, 56807, 6354, 2069, 
