element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
184, 1, 14, 2, True, 2019-08-09T19:00:00Z, 4, 1, 1, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 10, 14.0, 11.8, 0.0, 2.6, 55, 0, 101038, 0, 0, 
184, 19, 16, 0, False, 2019-08-17T14:00:00Z, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 55, 3745, 128977, 15726, 11981, 
184, 24, 1, 0, True, 2019-08-24T16:30:00Z, 3, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 55, -24446, 106495, 3431, 27877, 
184, 32, 5, 0, False, 2019-08-31T16:30:00Z, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 54, -22215, 86003, 1461, 23676, 
184, 44, 13, 0, True, 2019-09-14T11:30:00Z, 3, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 53, -15285, 72195, 1214, 16499, 
184, 53, 6, 1, False, 2019-09-22T15:30:00Z, 1, 2, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1.0, 0.0, 0.0, 0.1, 53, -7394, 65610, 443, 7837, 
184, 68, 15, 0, False, 2019-09-28T11:30:00Z, 0, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 52, -5460, 60672, 542, 6002, 
184, 74, 9, 0, True, 2019-10-05T14:00:00Z, 2, 1, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 52, 1514, 63370, 5368, 3854, 
184, 87, 12, 0, False, 2019-10-20T15:30:00Z, 1, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 52, -3736, 59437, 1081, 4817, 
184, 94, 17, 1, True, 2019-10-27T16:30:00Z, 2, 1, 10, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0.4, 0.5, 0.0, 0.1, 52, -1970, 57788, 509, 2479, 
184, 102, 2, 0, False, 2019-11-02T15:00:00Z, 1, 2, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 52, -579, 57635, 1927, 2506, 
