element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
415, 5, 9, 3, False, 2019-08-11T13:00:00Z, 0, 0, 1, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 11, 21.8, 29.8, 0.0, 5.2, 55, 0, 397333, 0, 0, 
415, 20, 12, 8, True, 2019-08-19T19:00:00Z, 1, 1, 2, 90, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 3, 27, 36.0, 38.8, 0.0, 7.5, 55, -19074, 399959, 18534, 37608, 
415, 30, 5, 1, True, 2019-08-25T15:30:00Z, 1, 1, 3, 58, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 11, 12.4, 36.2, 0.0, 4.9, 55, 22620, 437728, 61634, 39014, 
415, 35, 8, 1, False, 2019-09-01T13:00:00Z, 3, 2, 4, 31, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 7, 14.4, 0.9, 0.0, 1.5, 55, -18792, 424609, 33246, 52038, 
415, 50, 6, 2, True, 2019-09-14T14:00:00Z, 2, 5, 5, 90, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 24, 29.8, 58.0, 0.0, 8.8, 55, -45474, 381568, 11532, 57006, 
415, 54, 7, 2, False, 2019-09-22T13:00:00Z, 1, 1, 6, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 8, 19.2, 17.3, 0.0, 3.7, 55, -32066, 352443, 6025, 38091, 
415, 70, 18, 3, True, 2019-09-28T14:00:00Z, 2, 0, 7, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 15, 8.0, 7.3, 0.0, 1.5, 54, -31914, 322132, 7126, 39040, 
415, 75, 11, 2, False, 2019-10-06T13:00:00Z, 0, 2, 8, 90, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 12, 15.6, 16.0, 0.0, 3.2, 54, -29983, 292599, 3273, 33256, 
415, 90, 16, 2, True, 2019-10-19T14:00:00Z, 1, 1, 9, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 9.0, 4.6, 1.0, 1.5, 53, -14180, 280780, 5334, 19514, 
415, 96, 13, 2, False, 2019-10-27T14:00:00Z, 1, 1, 10, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 11, 23.8, 31.4, 7.0, 6.2, 53, -9534, 272107, 3243, 12777, 
415, 101, 1, 6, False, 2019-11-02T15:00:00Z, 1, 1, 11, 90, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 26, 40.2, 56.1, 27.0, 12.3, 53, -18467, 253799, 3031, 21498, 
