code, team_home, team_home_score, team_away, team_away_score, event, finished, minutes, event_name, is_home
1059775, 10, None, 9, None, 8, False, 0, Gameweek 8, False, 
1059787, 9, None, 5, None, 9, False, 0, Gameweek 9, True, 
1059799, 16, None, 9, None, 10, False, 0, Gameweek 10, False, 
1059806, 7, None, 9, None, 11, False, 0, Gameweek 11, False, 
1059814, 9, None, 1, None, 12, False, 0, Gameweek 12, True, 
1059825, 4, None, 9, None, 13, False, 0, Gameweek 13, False, 
1059834, 9, None, 8, None, 14, False, 0, Gameweek 14, True, 
1059844, 9, None, 18, None, 15, False, 0, Gameweek 15, True, 
1059853, 2, None, 9, None, 16, False, 0, Gameweek 16, False, 
1059866, 9, None, 14, None, 17, False, 0, Gameweek 17, True, 
1059876, 11, None, 9, None, 18, False, 0, Gameweek 18, False, 
1059887, 9, None, 10, None, 19, False, 0, Gameweek 19, True, 
1059901, 19, None, 9, None, 20, False, 0, Gameweek 20, False, 
1059907, 13, None, 9, None, 21, False, 0, Gameweek 21, False, 
1059917, 9, None, 16, None, 22, False, 0, Gameweek 22, True, 
1059924, 5, None, 9, None, 23, False, 0, Gameweek 23, False, 
1059935, 9, None, 19, None, 24, False, 0, Gameweek 24, True, 
1059945, 9, None, 6, None, 25, False, 0, Gameweek 25, True, 
1059961, 20, None, 9, None, 26, False, 0, Gameweek 26, False, 
1059966, 9, None, 11, None, 27, False, 0, Gameweek 27, True, 
1059978, 14, None, 9, None, 28, False, 0, Gameweek 28, False, 
1059986, 9, None, 2, None, 29, False, 0, Gameweek 29, True, 
1060000, 18, None, 9, None, 30, False, 0, Gameweek 30, False, 
1060004, 9, None, 4, None, 31, False, 0, Gameweek 31, True, 
1060017, 8, None, 9, None, 32, False, 0, Gameweek 32, False, 
1060024, 9, None, 7, None, 33, False, 0, Gameweek 33, True, 
1060033, 1, None, 9, None, 34, False, 0, Gameweek 34, False, 
1060042, 3, None, 9, None, 35, False, 0, Gameweek 35, False, 
1060057, 9, None, 15, None, 36, False, 0, Gameweek 36, True, 
1060069, 17, None, 9, None, 37, False, 0, Gameweek 37, False, 
1060077, 9, None, 12, None, 38, False, 0, Gameweek 38, True, 
