code, team_home, team_home_score, team_away, team_away_score, event, finished, minutes, event_name, is_home,
1059821, 20, None, 2, None, 12, False, 0, Gameweek 12, False, 
1059824, 2, None, 13, None, 13, False, 0, Gameweek 13, True, 
1059836, 12, None, 2, None, 14, False, 0, Gameweek 14, False, 
1059848, 6, None, 2, None, 15, False, 0, Gameweek 15, False, 
1059853, 2, None, 9, None, 16, False, 0, Gameweek 16, True, 
1059869, 15, None, 2, None, 17, False, 0, Gameweek 17, False, 
1059873, 2, None, 16, None, 18, False, 0, Gameweek 18, True, 
1059883, 2, None, 14, None, 19, False, 0, Gameweek 19, True, 
1059900, 18, None, 2, None, 20, False, 0, Gameweek 20, False, 
1059904, 5, None, 2, None, 21, False, 0, Gameweek 21, False, 
1059913, 2, None, 11, None, 22, False, 0, Gameweek 22, True, 
1059923, 4, None, 2, None, 23, False, 0, Gameweek 23, False, 
1059933, 2, None, 18, None, 24, False, 0, Gameweek 24, True, 
1059942, 3, None, 2, None, 25, False, 0, Gameweek 25, False, 
1059953, 2, None, 17, None, 26, False, 0, Gameweek 26, True, 
1059970, 16, None, 2, None, 27, False, 0, Gameweek 27, False, 
1059973, 2, None, 15, None, 28, False, 0, Gameweek 28, True, 
1059986, 9, None, 2, None, 29, False, 0, Gameweek 29, False, 
1059993, 2, None, 6, None, 30, False, 0, Gameweek 30, True, 
1060007, 13, None, 2, None, 31, False, 0, Gameweek 31, False, 
1060014, 2, None, 20, None, 32, False, 0, Gameweek 32, True, 
1060025, 10, None, 2, None, 33, False, 0, Gameweek 33, False, 
1060034, 2, None, 12, None, 34, False, 0, Gameweek 34, True, 
1060043, 2, None, 7, None, 35, False, 0, Gameweek 35, True, 
1060056, 8, None, 2, None, 36, False, 0, Gameweek 36, False, 
1060063, 2, None, 1, None, 37, False, 0, Gameweek 37, True, 
1060081, 19, None, 2, None, 38, False, 0, Gameweek 38, False, 
